repetition	sampled_tips	observed_trees	hidden_trees	p	infectious_time	infectious_time_min	infectious_time_max	incubation_period	incubation_period_min	incubation_period_max	R0	R0_min	R0_max	mu	mu_min	mu_max	lambda	lambda_min	lambda_max	psi	psi_min	psi_max
1	854	173	0	0.054	0.04	0.04	0.05	12.1	11.2	13.2	0.99	0.96	1.02	0.08	0.08	0.09	22.73	21.96	23.52	22.99	22.21	23.79
1	854	173	0	0.065	0.04	0.04	0.05	13.1	12.0	14.2	0.99	0.95	1.02	0.08	0.07	0.08	22.14	21.33	22.97	22.44	21.63	23.29
1	854	173	0	0.081	0.05	0.04	0.05	14.3	13.1	15.5	0.98	0.94	1.02	0.07	0.06	0.08	21.61	20.74	22.52	21.98	21.10	22.89
1	854	173	estimated	0.054	0.04	0.04	0.05	12.1	11.2	13.2	0.99	0.96	1.03	0.08	0.08	0.09	22.73	21.96	23.53	22.85	22.08	23.65
1	854	173	estimated	0.065	0.04	0.04	0.05	13.1	12.0	14.2	0.99	0.96	1.06	0.08	0.07	0.08	22.29	21.48	23.83	22.43	21.62	23.34
1	854	173	estimated	0.081	0.05	0.04	0.05	14.3	13.1	15.5	0.99	0.95	1.03	0.07	0.06	0.08	21.58	20.71	22.49	21.76	20.89	22.67
1	854	173	fixed	0.054	0.04	0.04	0.04	12.1	11.2	13.2	0.96	0.93	1.00	0.08	0.08	0.09	22.35	21.61	23.11	23.18	22.43	23.98
1	854	173	fixed	0.065	0.04	0.03	0.05	13.1	3.4	196.0	0.96	0.68	1.16	0.08	0.01	0.29	21.79	15.54	26.35	22.76	20.96	28.73
1	854	173	fixed	0.081	0.04	0.04	0.05	14.3	13.2	15.5	0.95	0.91	0.99	0.07	0.06	0.08	21.21	20.37	22.07	22.37	21.50	23.28
2	854	145	0	0.054	0.04	0.04	0.04	11.8	10.8	12.8	0.99	0.96	1.03	0.09	0.08	0.09	23.10	22.33	23.89	23.31	22.53	24.11
2	854	145	0	0.065	0.04	0.04	0.05	12.7	11.7	13.8	0.99	0.95	1.03	0.08	0.07	0.09	22.68	21.87	23.60	22.93	22.11	23.78
2	854	145	0	0.081	0.04	0.04	0.05	13.8	12.7	15.0	0.99	0.95	1.03	0.07	0.07	0.08	22.02	21.15	22.93	22.32	21.44	23.23
2	854	145	estimated	0.054	0.04	0.04	0.04	11.8	10.8	12.8	1.00	0.96	1.03	0.09	0.08	0.09	22.97	22.20	23.78	23.06	22.29	23.87
2	854	145	estimated	0.065	0.04	0.04	0.05	12.7	11.7	13.8	0.99	0.96	1.03	0.08	0.07	0.09	22.71	21.89	23.56	22.83	22.00	23.68
2	854	145	estimated	0.081	0.04	0.04	0.05	13.8	12.7	15.0	0.99	0.95	1.03	0.07	0.07	0.08	22.09	21.21	23.00	22.24	21.35	23.15
