node	GIN	LBR	SLE
root	0.9956492975761024	0.001295833692940953	0.0030548687309565
n0	0.9999863658166307	4.0608693641896394e-06	9.573314005129408e-06
n34	0.9999841185317828	4.73021122861474e-06	1.1151256988537994e-05
n00	0.9999865774728113	3.997828690892405e-06	9.42469849784629e-06
510	1.0	0.0	0.0
n3434	0.9999999877188046	3.657838786597402e-09	8.623356656814465e-09
n769	0.9999998139938908	5.540094761622537e-08	1.3060516155165294e-07
n1	0.9999863668992685	4.0605469062636534e-06	9.572553825299222e-06
n22	0.9999998340783776	4.941887716959433e-08	1.1650274522347179e-07
n35	0.99999997552603	7.289393088950952e-09	1.718457695097194e-08
n4545	0.9999998975992025	3.049910005340158e-08	7.190169743833254e-08
n769769	0.9999998806763856	3.554384140682571e-08	8.377977297668864e-08
n779779	0.9999998109378987	5.631115835931809e-08	1.3275094293137135e-07
n11	0.9999999928351591	2.1340099772372946e-09	5.030831028985561e-09
149	1.0	0.0	0.0
n3	0.9999998090995863	5.685867798360622e-08	1.3404173575483788e-07
n4	0.9999993196734711	2.0263165632190673e-07	4.776948725416499e-07
n3535	0.9999848784005634	4.503888365629625e-06	1.0617711071006062e-05
n4343	0.999997604394532	7.135184109753315e-07	1.6820870569295846e-06
n46	0.9999997725895724	6.773299227328189e-08	1.596774352685407e-07
n49	0.9999999186643025	1.3739139410173239e-08	6.75965580589253e-08
n770	0.9999996466489883	1.0524387227763532e-07	2.48107139355917e-07
n772	0.9999999978703673	1.345690130023297e-09	7.83942565884297e-10
390	1.0	0.0	0.0
378	1.0	0.0	0.0
n2	0.9999999999704586	8.798756995643596e-12	2.0742667645581238e-11
482	1.0	0.0	0.0
n33	0.9999999020952599	2.916040869964718e-08	6.874433131470336e-08
492	1.0	0.0	0.0
n44	0.9999980371264052	5.846315126688339e-07	1.3782420821971918e-06
n6	0.9999999982390172	5.244993954839117e-10	1.2364833631614176e-09
n36	0.9999844777501213	4.623219982207787e-06	1.0899029896500843e-05
n37	0.9999999819769689	5.368064424497813e-09	1.2654966640523445e-08
n4444	0.9999998479549631	4.528580961058991e-08	1.0675922727549927e-07
394	1.0	0.0	0.0
n4646	0.9999998587245004	4.2078159873077294e-08	9.919733976383627e-08
381	1.0	0.0	0.0
n4949	0.9999999187112224	1.3156142987198711e-08	6.813263453829788e-08
