node	country
root	GIN
n0	GIN
n3232	GIN
n00	GIN
n2	GIN
n3333	GIN
n779	GIN
n1	GIN
149	GIN
n22	GIN
n3131	GIN
n34	GIN
n776	GIN
n779779	GIN
n782	GIN
n11	GIN
482	GIN
n3	GIN
n30	GIN
492	GIN
n32	GIN
n3434	GIN
n774774	GIN
n776776	GIN
384	GIN
n780	GIN
n780780	GIN
n782782	GIN
n783	GIN
472	GIN
461	GIN
n33	GIN
n4	GIN
n3030	GIN
463	GIN
508	GIN
509	GIN
n35	GIN
n43	GIN
n775	GIN
441	GIN
n777	GIN
n778778	GIN
376	GIN
378	GIN
n781	GIN
389	LBR
390	GIN
375	GIN
388	GIN
n783783	GIN
476	GIN
473	GIN
n44	GIN
n10	GIN
n31	GIN
467	GIN
n3535	GIN
n3636	GIN
n4343	GIN
387	GIN
n775775	GIN
393	GIN
n777777	GIN
442	GIN
382	GIN
385	GIN
n781781	GIN
396	GIN
374	GIN
n784	GIN
n5	GIN
n7	GIN
507	GIN
n1010	GIN
505	GIN
449	GIN
391	GIN
n36	GIN
n37	GIN
n38	GIN
n4444	GIN
443	GIN
395	GIN
394	GIN
383	GIN
n778	GIN
392	GIN
397	GIN
n784784	GIN
n786786	GIN
n55	GIN
n6	GIN
n77	GIN
480	GIN
498	GIN
n1111	GIN
379	GIN
380	GIN
n3737	GIN
408	GIN
n3838	GIN
412	GIN
n45	GIN
377	GIN
386	GIN
381	GIN
399	GIN
n785	GIN
n787	GIN
n789	GIN
490	GIN
481	GIN
478	GIN
n66	GIN
145	GIN
n8	SLE
n12	GIN
144	GIN
411	GIN
413	GIN
n39	GIN
n4242	GIN
n4545	GIN
n773773	SLE
398	GIN
n785785	GIN
n787787	GIN
406	GIN
n789789	GIN
n790	GIN
477	GIN
469	GIN
n88	SLE
n9	SLE
n1212	GIN
n1616	GIN
n3939	GIN
n4141	GIN
417	GIN
302	GIN
n46	GIN
n49	GIN
914	SLE
n774	SLE
n786	GIN
400	GIN
402	GIN
n788	GIN
410	GIN
407	GIN
403	GIN
409	GIN
179	GIN
1221	SLE
n99	SLE
1429	SLE
236	GIN
n13	GIN
n17	GIN
n1818	GIN
n40	GIN
n41	GIN
416	GIN
n42	GIN
n4646	GIN
