node	country
root	GIN
n0	GIN
n256256	GIN
n00	GIN
n4	GIN
510	GIN
n257	GIN
376	GIN
375	GIN
378	GIN
374	GIN
390	GIN
n1	GIN
388	GIN
n33	GIN
389	LBR
n44	GIN
n5	GIN
n8	GIN
n88	GIN
n257257	GIN
n258258	GIN
399	GIN
n11	GIN
n22	GIN
397	GIN
396	GIN
392	GIN
441	GIN
393	GIN
394	GIN
395	GIN
n55	GIN
n66	GIN
384	GIN
442	GIN
385	GIN
386	GIN
381	GIN
382	GIN
383	GIN
387	GIN
443	GIN
n9	GIN
n258	GIN
149	GIN
492	GIN
n259	GIN
n259259	GIN
n269	GIN
n2	GIN
402	GIN
405	GIN
406	GIN
421	GIN
404	GIN
398	GIN
n3	GIN
391	GIN
n6	GIN
408	GIN
413	GIN
412	GIN
411	GIN
n7	GIN
377	GIN
n99	SLE
472	GIN
482	GIN
461	GIN
508	GIN
509	GIN
473	GIN
476	GIN
n260	GIN
467	GIN
449	GIN
505	GIN
463	GIN
410	GIN
403	GIN
407	GIN
409	GIN
401	GIN
400	GIN
379	GIN
380	GIN
302	GIN
420	GIN
416	GIN
419	GIN
432	GIN
n77	GIN
425	GIN
417	GIN
418	GIN
n10	SLE
914	SLE
422	SLE
428	LBR
n1010	SLE
426	LBR
431	SLE
414	GIN
921	SLE
437	GIN
434	LBR
n12	SLE
n1212	SLE
n260260	GIN
507	GIN
480	GIN
469	GIN
477	GIN
490	GIN
481	GIN
498	GIN
478	GIN
n262262	GIN
515	GIN
514	GIN
415	GIN
919	SLE
n1111	GIN
920	SLE
899	SLE
917	SLE
424	SLE
n13	GIN
454	GIN
n1313	SLE
180	GIN
n261	GIN
n263	GIN
144	GIN
n266	GIN
278	GIN
317	GIN
275	GIN
315	GIN
217	GIN
203	GIN
936	SLE
886	LBR
945	SLE
937	SLE
873	LBR
901	SLE
n14	LBR
n1414	SLE
911	SLE
423	SLE
968	SLE
947	SLE
944	SLE
n15	SLE
918	SLE
870	LBR
n1515	LBR
977	SLE
950	SLE
933	SLE
948	SLE
915	SLE
440	LBR
n17	SLE
966	SLE
941	SLE
989	SLE
956	SLE
942	SLE
913	SLE
939	SLE
996	SLE
959	SLE
925	SLE
926	SLE
n1717	LBR
