node	GIN	LBR	SLE
root	0.9926052781334201	0.004685827697188855	0.0027088941693911056
n0	0.9999307029188146	4.3911615367994707e-05	2.5385465817594653e-05
n256256	0.9998480432619488	9.629071989213865e-05	5.566601815914828e-05
n00	0.9999999999998914	1.0771574210845754e-13	9.835116901914323e-16
n4	0.9999999232906263	4.860857709905842e-08	2.810079661308392e-08
510	1.0	0.0	0.0
n257	0.9998648993598406	8.560948376274715e-05	4.9491156396697165e-05
376	1.0	0.0	0.0
375	1.0	0.0	0.0
378	1.0	0.0	0.0
374	1.0	0.0	0.0
390	1.0	0.0	0.0
n1	0.9999997508384312	1.5788669305956012e-07	9.127487574655869e-08
388	1.0	0.0	0.0
n33	0.9999999958038432	2.6589867358976793e-09	1.537169979239708e-09
389	0.0	1.0	0.0
n44	0.999999986720291	8.414978830480816e-09	4.864730110140519e-09
n5	0.9999630329662232	2.342497174054652e-05	1.3542062036169874e-05
n8	0.9999999999986197	8.746459145889752e-13	5.056360095643e-13
n88	0.9999997187728298	1.7820576448849464e-07	1.0302140573041176e-07
n257257	0.9998648993598406	8.560948376274715e-05	4.9491156396697165e-05
n258258	0.9999992491528699	4.7579075221607406e-07	2.7505637804435104e-07
399	1.0	0.0	0.0
n11	0.9999999999998451	9.816085693883533e-14	5.6747151241497914e-14
n22	0.9999942497990412	3.643740955142511e-06	2.1064600036549262e-06
397	1.0	0.0	0.0
396	1.0	0.0	0.0
392	1.0	0.0	0.0
441	1.0	0.0	0.0
393	1.0	0.0	0.0
394	1.0	0.0	0.0
395	1.0	0.0	0.0
n55	0.9999682689981082	2.0107045296134308e-05	1.1623956595559833e-05
n66	0.9999999994420652	3.53547572453941e-10	2.0438714769594982e-10
384	1.0	0.0	0.0
442	1.0	0.0	0.0
385	1.0	0.0	0.0
386	1.0	0.0	0.0
381	1.0	0.0	0.0
382	1.0	0.0	0.0
383	1.0	0.0	0.0
387	1.0	0.0	0.0
443	1.0	0.0	0.0
n9	1.0	0.0	0.0
n258	1.0	0.0	0.0
149	1.0	0.0	0.0
492	1.0	0.0	0.0
n259	0.9999956251775396	2.7722022038636208e-06	1.6026202565934081e-06
n259259	0.9999999856578988	9.088186973341504e-09	5.253914205423507e-09
n269	0.9999999922101772	4.936191972553746e-09	2.853630674783773e-09
n2	0.9999999999942314	3.655400583288877e-12	2.1132004774318074e-12
402	1.0	0.0	0.0
405	1.0	0.0	0.0
406	1.0	0.0	0.0
421	1.0	0.0	0.0
404	1.0	0.0	0.0
398	1.0	0.0	0.0
n3	1.0	0.0	0.0
391	1.0	0.0	0.0
n6	1.0	0.0	0.0
408	1.0	0.0	0.0
413	1.0	0.0	0.0
412	1.0	0.0	0.0
411	1.0	0.0	0.0
n7	1.0	7.415424387854442e-20	4.28688402261906e-20
377	1.0	0.0	0.0
n99	9.846469660287731e-10	3.7974238131294213e-13	0.9999999990149733
472	1.0	0.0	0.0
482	1.0	0.0	0.0
461	1.0	0.0	0.0
508	1.0	0.0	0.0
509	1.0	0.0	0.0
473	1.0	0.0	0.0
476	1.0	0.0	0.0
n260	1.0	2.0147962443199185e-22	1.6188617535310628e-21
467	1.0	0.0	0.0
449	1.0	0.0	0.0
505	1.0	0.0	0.0
463	1.0	0.0	0.0
410	1.0	0.0	0.0
403	1.0	0.0	0.0
407	1.0	0.0	0.0
409	1.0	0.0	0.0
401	1.0	0.0	0.0
400	1.0	0.0	0.0
379	1.0	0.0	0.0
380	1.0	0.0	0.0
302	0.9699499272467256	0.019041887680211544	0.011008185073062862
420	1.0	0.0	0.0
416	1.0	0.0	0.0
419	1.0	0.0	0.0
432	1.0	0.0	0.0
n77	0.999997752205581	1.4243642337854615e-06	8.234301850890628e-07
425	1.0	0.0	0.0
417	1.0	0.0	0.0
418	1.0	0.0	0.0
n10	0.0	0.0	1.0
914	0.0	0.0	1.0
422	0.0	0.0	1.0
428	0.0	1.0	0.0
n1010	9.846469660287733e-10	3.797423813129422e-13	0.9999999990149734
426	0.0	1.0	0.0
431	0.0	0.0	1.0
414	1.0	0.0	0.0
921	0.0	0.0	1.0
437	1.0	0.0	0.0
434	0.0	1.0	0.0
n12	9.547958612408568e-10	5.96687858868305e-10	0.9999999984485162
n1212	9.846469660287731e-10	3.7974238131294213e-13	0.9999999990149733
n260260	0.9880572563786795	0.00026413508521882785	0.011678608536101677
507	1.0	0.0	0.0
480	1.0	0.0	0.0
469	1.0	0.0	0.0
477	1.0	0.0	0.0
490	1.0	0.0	0.0
481	1.0	0.0	0.0
498	1.0	0.0	0.0
478	1.0	0.0	0.0
n262262	1.0	2.0147962443199185e-22	1.6188617535310628e-21
515	1.0	0.0	0.0
514	1.0	0.0	0.0
415	1.0	0.0	0.0
919	0.0	0.0	1.0
n1111	0.9967939957405546	1.8961469280832276e-05	0.003187042790164557
920	0.0	0.0	1.0
899	0.0	0.0	1.0
917	0.0	0.0	1.0
424	0.0	0.0	1.0
n13	1.0	0.0	0.0
454	1.0	0.0	0.0
n1313	8.329687925847395e-77	1.9374646327032988e-47	1.0
180	1.0	0.0	0.0
n261	0.9872350857312272	0.0002783091153673423	0.012486605153405585
n263	0.9999410820285639	3.7334664832464646e-05	2.1583306603769256e-05
144	1.0	0.0	0.0
n266	1.0	0.0	0.0
278	1.0	0.0	0.0
317	1.0	0.0	0.0
275	1.0	0.0	0.0
315	1.0	0.0	0.0
217	1.0	0.0	0.0
203	1.0	0.0	0.0
936	0.0	0.0	1.0
886	0.0	1.0	0.0
945	0.0	0.0	1.0
937	0.0	0.0	1.0
873	0.0	1.0	0.0
901	0.0	0.0	1.0
n14	0.00016722024462621958	0.996741886007074	0.003090893748299683
n1414	1.4592968618312577e-06	1.071581366727191e-05	0.999987824889471
911	0.0	0.0	1.0
423	0.0	0.0	1.0
968	0.0	0.0	1.0
947	0.0	0.0	1.0
944	0.0	0.0	1.0
n15	0.0	0.0	1.0
918	0.0	0.0	1.0
870	0.0	1.0	0.0
n1515	0.0004155806882568471	0.9750615178596121	0.024522901452130912
977	0.0	0.0	1.0
950	0.0	0.0	1.0
933	0.0	0.0	1.0
948	0.0	0.0	1.0
915	0.0	0.0	1.0
440	0.0	1.0	0.0
n17	0.0	0.0	1.0
966	0.0	0.0	1.0
941	0.0	0.0	1.0
989	0.0	0.0	1.0
956	0.0	0.0	1.0
942	0.0	0.0	1.0
913	0.0	0.0	1.0
939	0.0	0.0	1.0
996	0.0	0.0	1.0
959	0.0	0.0	1.0
925	0.0	0.0	1.0
926	0.0	0.0	1.0
n1717	0.0005904845219292428	0.9920732846506515	0.007336230827419258
n18	8.329687925847396e-77	1.9374646327031724e-47	1.0
n2020	3.067421053042771e-10	0.999999971694147	2.7999110961017714e-08
n2323	0.9999999971968194	2.6232919064662803e-11	2.776947734186445e-09
n27	8.329687925847395e-77	1.9374646327032988e-47	1.0
930	0.0	0.0	1.0
n28	2.2812645547687334e-10	0.9999999962283579	3.543515628889438e-09
856	0.0	1.0	0.0
n30	0.0009733928985203594	0.8422665814558944	0.15676002564558528
n3434	4.7587255382997064e-09	0.9999998047239784	1.9051729594898866e-07
n4040	6.84953551181197e-35	1.0	3.347458868779533e-33
n5151	5.389560228876919e-16	0.999999999999996	3.5068408620955197e-15
n58	2.370482759777417e-21	1.0	7.967187916377768e-22
878	0.0	1.0	0.0
n78	7.999200040022092e-155	4.5446900251016603e-156	1.0
145	1.0	0.0	0.0
n261261	0.0022680709864783748	5.042487308836144e-06	0.9977268865262128
236	1.0	0.0	0.0
n263263	0.9999965633729714	2.1776940913134066e-06	1.2589329373371827e-06
147	1.0	0.0	0.0
154	1.0	0.0	0.0
231	1.0	0.0	0.0
234	1.0	0.0	0.0
152	1.0	0.0	0.0
153	1.0	0.0	0.0
232	1.0	0.0	0.0
n266266	1.0	0.0	0.0
889	0.0	1.0	0.0
324	0.0	1.0	0.0
910	0.0	0.0	1.0
766	0.0	1.0	0.0
900	0.0	0.0	1.0
916	0.0	0.0	1.0
n16	1.8916533108863366e-05	0.9996009504538486	0.0003801330130424493
n1616	2.467247611423175e-07	0.9999963976481252	3.3556271135202016e-06
938	0.0	0.0	1.0
433	0.0	0.0	1.0
964	0.0	0.0	1.0
764	0.0	1.0	0.0
865	0.0	1.0	0.0
830	0.0	1.0	0.0
n1818	1.897780622342616e-15	0.9999999999998426	1.5555494871753094e-13
429	0.0	1.0	0.0
782	0.0	1.0	0.0
427	0.0	1.0	0.0
831	0.0	1.0	0.0
320	0.0	1.0	0.0
n21	0.0002894291230744616	0.9997076787676485	2.892109277092105e-06
263	1.0	0.0	0.0
340	1.0	0.0	0.0
326	1.0	0.0	0.0
373	1.0	0.0	0.0
262	1.0	0.0	0.0
n24	0.999999998844187	7.323999667166315e-10	4.2341288932990847e-10
283	1.0	0.0	0.0
n25	1.0	2.556394052197368e-18	1.47786737619365e-18
1032	0.0	0.0	1.0
15	0.0	0.0	1.0
n2727	1.5714986920788986e-06	9.821699873884023e-07	0.9999974463313205
805	0.0	1.0	0.0
734	0.0	1.0	0.0
n2828	0.0	1.0	0.0
715	0.0	1.0	0.0
n29	2.906059529001745e-07	0.9999996043954431	1.0499860393444593e-07
815	0.0	1.0	0.0
n3030	3.554648538193742e-15	0.9999999999999928	3.7406025410415595e-15
759	0.0	1.0	0.0
828	0.0	1.0	0.0
852	0.0	1.0	0.0
n35	2.279511320471829e-06	0.9999968956790453	8.248096343022888e-07
n3535	1.1145688779364605e-06	0.9999984751128802	4.1031824191183574e-07
875	0.0	1.0	0.0
868	0.0	1.0	0.0
779	0.0	1.0	0.0
n41	6.192900428981491e-06	0.9999915695510802	2.2375484908503475e-06
876	0.0	1.0	0.0
n4141	6.563820486102328e-06	0.9999910646143981	2.3715651157831256e-06
891	0.0	1.0	0.0
n42	1.6242487078448597e-05	0.9999778889618498	5.868551071798212e-06
n43	1.3483837707325815e-10	0.9999999998164434	4.8718271929102994e-11
845	0.0	1.0	0.0
n4444	6.968461355507335e-08	0.9999999051377328	2.517765361864339e-08
849	0.0	1.0	0.0
n4747	6.84953551181197e-35	1.0	3.347458868779533e-33
730	0.0	1.0	0.0
718	0.0	1.0	0.0
n52	5.001009846303276e-05	0.999931920820397	1.8069081140108724e-05
874	0.0	1.0	0.0
890	0.0	1.0	0.0
755	0.0	1.0	0.0
n5252	6.39282360379914e-08	0.9999999129739393	2.3097824665153698e-08
848	0.0	1.0	0.0
n5555	0.00921587545809721	0.990583748695146	0.00020037584675669802
n56	6.882832022527665e-13	0.9999999999990629	2.486826743257151e-13
