	type	mu	lambda	psi	p	R_naught	infectious_time	incubation_period	mu_error	lambda_error	psi_error	p_error	R_naught_error	infectious_time_error	incubation_period_error
0	PhyloDeep	0.7407497062369729	1.4523744877410325	0.6125935893000646		2.3708613885438834	1.6324036318149804	1.3499836605808797	0.014774426367277618	0.022035241913474658	0.009289803909042299		0.012628125197607958	-0.009204297787476334	-0.014559320754828034
0	PyBDEI (forest)	0.7132152526009425	1.4301602085132712	0.6218907048360063		2.299697032600619	1.607999592571016	1.4021012539387163	-0.022945817270457188	0.006403064099754528	0.02460743713290882		-0.017767168550029466	-0.024016453756929745	0.023484692738691717
0	PyBDEI	0.7279979854273194	1.4487834963306776	0.6244698770007444		2.3200214288782277	1.6013582669557782	1.373630174832175	-0.0026945244279213696	0.019508262951939987	0.028856799538693197		-0.009086334066066546	-0.028047440179849777	0.0027018045061625484
1	PhyloDeep	0.23656046344592865	0.9551162922003412	0.2811075569030915		3.3976898476962902	3.557357230153503	4.227249073802112	-0.06265360567486387	0.05295545570921535	0.04388121886932087		0.008692786761432111	-0.04203660155592304	0.06684146442999106
1	PyBDEI	0.2485718841012929	0.9185541032188804	0.277489253423616		3.310233069878972	3.6037431636078416	4.022981133266467	-0.01505959238108445	0.012647948995022213	0.030444799414769897		-0.017271037157793212	-0.02954529872154293	0.015289851309371104
1	PyBDEI (forest)	0.2541427802105811	0.8960638618037723	0.2665918245230079		3.3611828247435187	3.7510527631116317	3.934796019668181	0.007014507851623324	-0.012146123299253112	-0.010022349489484526		-0.002145274500564015	0.01012381389046127	-0.006965647264197153
2	PhyloDeep	0.0332324541234413	0.4881064489330602	0.1263071844101163		3.864439312875432	7.9172060138164815	30.09106689158494	0.09688497288726426	-0.02215730739550645	-0.01072523007977002		-0.011556018270493343	0.010841507744743998	-0.08832737732949315
2	PyBDEI (forest)	0.032862813445720784	0.4788832053228314	0.1302162348021303		3.677599848056712	7.6795339806864105	30.42953098497458	0.08468445037233202	-0.04063459116442095	0.01989159464977013		-0.05934570510405628	-0.019503636223809632	-0.07807289054735052
2	PyBDEI	0.030327153137939176	0.5118705919522202	0.12655038320034956		4.044796854876741	7.901991086165576	32.9737511282918	0.0009913328667408349	0.025450327472027343	-0.00882042610225673		0.034575726212271354	0.008898918353988096	-0.000990351099146412
3	PhyloDeep	0.13176838552566125	1.6580911129228542	0.4279702449246237		3.874314003336577	2.336611042144122	7.5890737828403845	0.09438769901667247	-0.01678558346273	0.01262038056921461		-0.029039474808333337	-0.012463091610027012	-0.08624703941892015
3	PyBDEI (forest)	0.1158156360339072	1.7365616787005382	0.4152175716474497		4.182293325907235	2.4083759173108255	8.63441271183134	-0.03810609105006668	0.0297458712595925	-0.017553719196719348		0.04814470916174473	0.01786735777794067	0.03961569014577282
3	PyBDEI	0.13117737847865013	1.6430711483964549	0.428671774543098		3.832935233834162	2.3327871331529937	7.623265623979181	0.08947915559253543	-0.025692117936702116	0.014280269773346415		-0.039409607877890704	-0.014079214787977192	-0.08213021344485509
4	PyBDEI (forest)	0.04749723319144372	0.2641782514810381	0.14196968034044205		1.8608075389586067	7.043757495276518	21.053857936721734	0.015502733621802647	0.0071830342152261915	-0.004113606122650789		0.011343302215320995	0.004130597774947907	-0.015266067838647337
