	type	T	sampled_tips	observed_trees	unobserved_trees	mu	mu_min	mu_max	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	p	R_naught	R_naught_min	R_naught_max	infectious_time	infectious_time_min	infectious_time_max	incubation_period	incubation_period_min	incubation_period_max
0	PhyloDeep			1	0	0.7407497062369729			1.4523744877410325			0.6125935893000646				2.3708613885438834			1.6324036318149804			1.3499836605808797		
0	real	22.30195632556653		8.0	1.0	0.7299648936648243			1.4210610634344352			0.6069550954814479			0.447322979907068	2.34129521938888			1.6475683414549502			1.3699288947711599		
0	PyBDEI (forest)					0.7132152526009425	0.6737919396800633	0.7638426441092411	1.4301602085132712	1.360069325952268	1.4969017512151377	0.6218907048360063	0.5847683063897677	0.6595861486394998		2.299697032600619			1.607999592571016			1.4021012539387163		
0	PyBDEI					0.7279979854273194	0.6690787352918561	0.7893326526169757	1.4487834963306776	1.3617180537072955	1.5265655918656371	0.6244698770007444	0.5823006033266742	0.6680980629630393		2.3200214288782273			1.6013582669557782			1.373630174832175		
1	PhyloDeep			1	0	0.23656046344592863			0.9551162922003413			0.2811075569030915				3.3976898476962902			3.557357230153503			4.227249073802112		
1	real	31.438352799379526		14.0	0.0	0.2523725112488919			0.9070813841379691			0.2692907505391973			0.6225767763228239	3.36840898665005			3.71345840136623			3.9623966772426797		
1	PyBDEI					0.2485718841012929	0.23302795144276303	0.26362959556833276	0.9185541032188804	0.8872481255452344	0.9649016828873194	0.277489253423616	0.25986914986554577	0.2950499402799771		3.3102330698789717			3.6037431636078416			4.022981133266467		
1	PyBDEI (forest)					0.2541427802105811	0.2319282078173245	0.2767096039500573	0.8960638618037723	0.8442231837970244	0.9592884552734605	0.2665918245230079	0.24908136328330563	0.28563092535366824		3.3611828247435187			3.751052763111632			3.934796019668181		
2	PhyloDeep			1	0	0.0332324541234413			0.48810644893306027			0.1263071844101163				3.8644393128754317			7.9172060138164815			30.09106689158494		
2	real	117.83839659087644		16.0	0.0	0.03029711860849503			0.4991666375631278			0.12767654472811538			0.997036566631611	3.90961894078582			7.832292157729361			33.006439091525		
2	PyBDEI (forest)					0.032862813445720784	0.030850430716690767	0.03506231354491606	0.4788832053228314	0.46126707469698425	0.5003280784806665	0.1302162348021303	0.1234513930832726	0.13723938342774045		3.6775998480567114			7.67953398068641			30.42953098497458		
2	PyBDEI					0.030327153137939176	0.028757807933287978	0.032459094933490605	0.5118705919522202	0.4941609574221775	0.5302204092675773	0.12655038320034956	0.12027614287851561	0.13308956300329677		4.044796854876741			7.901991086165576			32.9737511282918		
3	real	41.63380352730016		1.0	0.0	0.12040375238506205			1.6863982922081189			0.4226364125557624			0.8293398478248979	3.9901869363554106			2.3660999627382098			8.305388994870441		
3	PhyloDeep			1	0	0.13176838552566125			1.658091112922854			0.42797024492462366				3.874314003336577			2.336611042144122			7.589073782840384		
3	PyBDEI (forest)					0.1158156360339072	0.10917798945598715	0.12260521432495583	1.7365616787005382	1.6478197472899918	1.8009471703086937	0.4152175716474497	0.39185167575089375	0.43921687193381315		4.182293325907235			2.408375917310825			8.63441271183134		
3	PyBDEI					0.13117737847865013	0.12254863628152188	0.1394945354896553	1.6430711483964549	1.5533913392244219	1.6985162489035568	0.42867177454309796	0.40683881820427836	0.45109416454473994		3.8329352338341622			2.3327871331529937			7.623265623979181		
4	real	188.51776568880368		27.0	8.0	0.04677213720739507			0.2622941833873122			0.14255609998616636			0.6549452351128721	1.83993658224913			7.014782251317481			21.380250288025998		
4	PyBDEI (forest)					0.047497233191443715	0.04448320308972758	0.05058332755673346	0.2641782514810381	0.25059511780112476	0.27869498214031785	0.14196968034044205	0.1336464432840822	0.14958337543719558		1.8608075389586067			7.043757495276518			21.053857936721734		
4	PyBDEI					0.04710872653877372	0.04488393832745897	0.04941592315329568	0.2703697919918988	0.2614405355720911	0.28127036825715795	0.14156555915095329	0.13488603584741937	0.1476332639722306		1.9098557135892051			7.063865010653378			21.227489543300038		
4	PhyloDeep			1	0	0.047239582308722126			0.26596523895053237			0.13637820096315995				1.9502034568000937			7.332550165184622			21.1686884415014		
5	PyBDEI (forest)					0.698959808019346	0.6016587111003788	0.760624445683774	0.3142607774673851	0.30153091141392163	0.338302492163916	0.2202535795444187	0.20844822055667536	0.2409984244860795		1.4268134852446648			4.540221330651878			1.4306974285599006		
5	PyBDEI					0.8840182429196568	0.8058072692182189	0.9759562109413767	0.28871527590723456	0.279484849491096	0.2983992695512257	0.20712692655771428	0.19844240578650768	0.21645648693916836		1.393905083735148			4.8279575071151255			1.1311983751571562		
5	PhyloDeep			1	0	0.5826527102233092			0.35051719856157315			0.25191464597443286				1.3914125445375956			3.9695984968714018			1.7162882493359328		
5	real	74.06882722703538		30.0	10.0	0.9240026020199156			0.2873148575232717			0.20584751545822128			0.4271495730639	1.39576548632954			4.857964876447389			1.0822480345985501		
6	PyBDEI (forest)					0.4864202979946182	0.4354035328487751	0.5122699687754735	0.6235046298575161	0.6000033831889143	0.652123067123522	0.13376752404292427	0.11935656706277553	0.14877565319005578		4.661106156509568			7.475656046972305			2.055835260417245		
6	PyBDEI					0.4466298915288259	0.3862944939605555	0.5163226321542076	0.6472005010928172	0.5967331528444477	0.702063760646483	0.14416599254529566	0.12710028917455882	0.1580484489396422		4.48927302248117			6.936448619710427			2.2389903115910434		
6	PhyloDeep			1	0	0.3879278767085387			0.7685455053281195			0.17895062636537565				4.294734927381187			5.588133555667093			2.5777987611633506		
6	real	37.442009702595904		18.0	6.0	0.4975835768756962			0.6147459861167709			0.13433231072568294			0.032288791520142	4.576307686481551			7.444225403388452			2.00971263215509		
7	PyBDEI (forest)					0.05130757187328384	0.04863391742941244	0.05386784468270222	0.6214831358444176	0.5990404700182383	0.6383883127376506	0.21271316211764899	0.2012546740194454	0.22382750840406493		2.9216957223393774			4.7011665382836645			19.490300622094065		
7	PyBDEI					0.0520702454435917	0.04884903898010731	0.05548143878144066	0.6364001888170095	0.6010157588918021	0.6636519816301553	0.22203944899632092	0.210326311634561	0.23302302683100412		2.8661582060922615			4.503704204456792			19.204825932370763		
7	PhyloDeep			1	0	0.054464405945983875			0.6008693252689055			0.20862236902973502				2.880176886416544			4.793349843791054			18.36061520604428		
7	real	130.5876832258115		7.0	1.0	0.050938770042800896			0.6308707935278659			0.2150041801769944			0.315735053639742	2.9342257113723296			4.65107236136891			19.6314123635054		
8	PyBDEI (forest)					0.05367389438666205	0.05030672183552898	0.05724915331467825	0.4191929399081557	0.40015873764068804	0.4376704195973135	0.20826353029469172	0.19712936310438212	0.21961043874452246		2.0128005095995443			4.80160880104647			18.631031182423378		
8	real	175.18895741513103		3.0	0.0	0.05450624562902902			0.41895452599801575			0.21185512479887966			0.969111940083884	1.9775520011410708			4.720206796740601			18.3465213657537		
8	PhyloDeep			1	0	0.057310460905920874			0.4102930643754719			0.2108997107907494				1.9454415695361325			4.741590191141516			17.448821457596893		
8	PyBDEI					0.05681068645731704	0.054152014797028566	0.05954847912104586	0.4107961531036341	0.397669093211605	0.4248585126218232	0.21467230414090333	0.2061398889503805	0.22319066178584968		1.9135964219865171			4.658262760079358			17.602322069305025		
9	real	630.3244986584599		37.0	15.0	0.04017473589310208			0.1952277932119866			0.16539045395073124			0.488340826384015	1.18040544994298			6.04629817569697			24.891265064214096		
9	PhyloDeep			1	0	0.04084902213028722			0.189045209957859			0.16422748763000003				1.1511179564761571			6.089114644760152			24.48039017459263		
9	PyBDEI (forest)					0.03931211277589088	0.03761946354467468	0.04102333138148333	0.1863941443573766	0.17652532162278628	0.19436136187861874	0.16419986555532834	0.15577241325033978	0.17110500658035357		1.1351662422316036			6.090138969468538			25.43745246409841		
9	PyBDEI					0.04030422052280105	0.03887629852635653	0.04177483667547287	0.19841314464778054	0.189410206537742	0.2043699914911785	0.1687632213540475	0.16202156522953323	0.174165829797897		1.1756894840939935			5.925461673323389			24.811297353692183		
10	real	169.24686237546996		16.0	7.0	0.08182652247933321			0.23762181731822946			0.10479807680327913			0.097229373886524	2.2674253628172907			9.542159842085098			12.220976398606801		
10	PhyloDeep			1	0	0.08086658017331165			0.25039497439373476			0.10911684307710447				2.2947417404368995			9.164488009366043			12.36604785137222		
10	PyBDEI (forest)					0.07719323108645701	0.07124310742109255	0.083993234476476	0.2518054335896585	0.24252891918610864	0.2650430521907056	0.1095922639842197	0.10404576106021798	0.11711848183197471		2.297657010041477			9.124731652080762			12.954503729478462		
10	PyBDEI					0.08128545728876638	0.07594625109501267	0.08653327250086981	0.23790085125449456	0.22747726225491463	0.2477382026749158	0.10657190327453456	0.10010067132572205	0.11211375835959227		2.2323036742775444			9.383336219715904			12.302323605654363		
11	PyBDEI (forest)					0.17920507083629733	0.16443412671388813	0.19673386362648057	0.529871207588338	0.5014436502284944	0.5501240028958442	0.1188226635738368	0.11031599292011643	0.12765529890229071		4.459344637221284			8.415902908779659			5.580199239526506		
11	PyBDEI					0.18173359742525694	0.17047031906977408	0.19598023943738987	0.5197759134510188	0.49362064984260057	0.5482897763795128	0.11780560703303533	0.11097512261260188	0.12478463452989212		4.412149188325663			8.488560308675101			5.502559868773181		
11	real	46.687740071568115		11.0	0.0	0.17693830377963493			0.5313673599444806			0.11629346656877736			0.9794623100045532	4.569193572282271			8.59893534439089			5.65168750145494		
11	PhyloDeep			1	0	0.1817026846864763			0.5311153477243742			0.1251119056292564				4.245122357085873			7.992844445702042			5.5034960090186695		
