	type	T	sampled_tips	observed_trees	unobserved_trees	mu	lambda	psi	p	R_naught	infectious_time	incubation_period
0	real	0.0		23.0	0.0	0.7299648936648243	1.4210610634344352	0.6069550954814479	0.44732297990706804	2.34129521938888	1.6475683414549502	1.3699288947711599
0	PyBDEI (p)					0.7370681598462165	1.4451313893519724	0.6157634057400174	0.44732297990706804	2.3468939139298644	1.6240003720231009	1.3567266292016225
0	PyBDEI (mu)					0.7299648936648243	1.3834605962398765	0.5730635301333146	0.4889962785613416	2.414148734814856	1.7450072241857113	1.36992889477116
0	PyBDEI (psi)					0.723227427237042	1.4357033234401382	0.6069550954814479	0.46339757780283	2.3654193434216277	1.6475683414549502	1.3826909245136303
0	PyBDEI (lambda)					0.7067855652092562	1.4210610634344352	0.5851573064668579	0.485450094715117	2.4285111844791105	1.7089421749476823	1.4148562862965837
1	real	0.0		23.0	0.0	0.2523725112488919	0.9070813841379691	0.2692907505391973	0.6225767763228239	3.36840898665005	3.71345840136623	3.9623966772426797
1	PyBDEI (p)					0.2491725954983809	0.9218470786715278	0.2755259179009311	0.6225767763228239	3.3457726434396267	3.629422624261297	4.0132824318013665
1	PyBDEI (mu)					0.2523725112488919	0.8798752225008649	0.25691410580128937	0.6726478824385089	3.4247836246928607	3.892351480200358	3.96239667724268
1	PyBDEI (lambda)					0.23700349453500374	0.9070813841379691	0.25607040208720155	0.6892639714347689	3.542312491972712	3.905176044748282	4.219347068961918
1	PyBDEI (psi)					0.2433383779346529	0.9137924538709596	0.2692907505391973	0.6534037950831463	3.393330264932178	3.71345840136623	4.109503845992365
2	PyBDEI (mu)					0.03029711860849503	0.5177228009395194	0.1270999113753621	0.9892505585873804	4.0733529656880485	7.8678260997894505	33.006439091525
2	PyBDEI (p)					0.03079677265748363	0.5088741042714578	0.12608102265896454	0.997036566631611	4.03608801340315	7.931407748054924	32.470934897037
2	PyBDEI (lambda)					0.03167965530847201	0.4991666375631278	0.1267336707173871	0.9897320552407064	3.938705749920689	7.890562897290136	31.56600001681749
2	real	0.0		29.0	0.0	0.03029711860849503	0.4991666375631278	0.12767654472811538	0.997036566631611	3.90961894078582	7.832292157729361	33.006439091525
2	PyBDEI (psi)					0.030921686185402742	0.5108580971609341	0.12767654472811538	0.9881321532609699	4.001189868106128	7.832292157729361	32.33976290956836
3	PyBDEI (psi)					0.1327969037799667	1.6401790475302105	0.4226364125557624	0.8333111563472555	3.8808275832452233	2.3660999627382098	7.530296050101559
3	PyBDEI (lambda)					0.12891982831638515	1.6863982922081189	0.4224151106626054	0.8320620593139361	3.9922773822243594	2.3673395547602167	7.756758700809598
3	PyBDEI (mu)					0.12040375238506205	1.7237055095288925	0.41401987417085695	0.8575160381295219	4.163340015937393	2.4153429880695096	8.305388994870441
3	real	0.0		28.0	0.0	0.12040375238506205	1.6863982922081189	0.4226364125557624	0.8293398478248979	3.9901869363554106	2.3660999627382098	8.305388994870441
3	PyBDEI (p)					0.13355952777066726	1.637396050793736	0.4217490571761247	0.8293398478248979	3.8823940988917274	2.371078211047178	7.487298111124523
4	PyBDEI (lambda)					0.046603812252938866	0.2622941833873121	0.13443947529597627	0.6893671655850795	1.951020582383681	7.438291452703472	21.457472074871713
4	PyBDEI (p)					0.04736149868157688	0.2708073716928985	0.13986006225067776	0.6549452351128721	1.9362737820573663	7.150003967591928	21.11419671753313
4	PyBDEI (mu)					0.04677213720739507	0.2663866608945149	0.13652702257109567	0.6781487213760063	1.9511643620280048	7.324557301315612	21.380250288025998
4	PyBDEI (psi)					0.04723030132863665	0.2731481230122768	0.14255609998616633	0.654737063811465	1.916074605287204	7.014782251317482	21.172848190017387
4	real	0.0		30.0	0.0	0.04677213720739507	0.2622941833873121	0.14255609998616633	0.6549452351128721	1.8399365822491296	7.014782251317483	21.380250288025998
5	PyBDEI (lambda)					0.8485571754552823	0.2873148575232718	0.20261114676628225	0.4474142042854903	1.4180604675945976	4.935562608278056	1.17847097275851
5	PyBDEI (psi)					0.8401143899439677	0.2910883591380806	0.20584751545822136	0.4392797602055269	1.4140970246354985	4.857964876447388	1.1903140952825435
5	PyBDEI (p)					0.8102862208321809	0.2990109303618114	0.21248774229945994	0.4271495730639	1.4071914319669978	4.7061538194080645	1.234131809588196
5	real	0.0		26.0	0.0	0.9240026020199156	0.2873148575232718	0.20584751545822136	0.4271495730639	1.39576548632954	4.8579648764473875	1.0822480345985501
5	PyBDEI (mu)					0.9240026020199156	0.2880731033111442	0.20475269175897426	0.4255498079100801	1.4069319472012172	4.883940676966317	1.08224803459855
6	PyBDEI (p)					0.4513612723587933	0.6440427791847834	0.14084895964247504	0.032288791520142	4.572577467519773	7.099803949836457	2.215520163646398
6	PyBDEI (psi)					0.4154767780455727	0.6504032403605446	0.13433231072568294	0.036194486986736385	4.841748324338131	7.444225403388453	2.4068733870134915
6	real	0.0		25.0	0.0	0.4975835768756962	0.6147459861167709	0.13433231072568294	0.032288791520142	4.576307686481551	7.444225403388452	2.00971263215509
