	type	T	sampled_tips	observed_trees	unobserved_trees	mu	lambda	psi	p	R_naught	infectious_time	incubation_period
0	real	33.039930500000004		1.0	0.0	0.7299648936648243	1.4210610634344352	0.6069550954814479	0.447322979907068	2.34129521938888	1.6475683414549502	1.3699288947711599
0	PyBDEI (p)					0.7279139103475583	1.4488042558633725	0.6242013546803918	0.447322979907068	2.321052726015309	1.602047147930378	1.3737888310480677
0	PyBDEI (mu)					0.7299648936648243	1.4118760725434358	0.6011995388459844	0.4669605552241894	2.348431729095406	1.6633412625690327	1.36992889477116
0	PyBDEI (psi)					0.7131110606183487	1.429702162096486	0.6069550954814479	0.4689159313518347	2.355532019979864	1.6475683414549502	1.4023061136267971
0	PyBDEI (lambda)					0.7057813547720982	1.4210610634344352	0.5960588102486302	0.479854892419473	2.384095392938957	1.6776868033925654	1.4168693933872865
1	real	41.9178016		1.0	0.0	0.2523725112488919	0.907081384137969	0.2692907505391973	0.6225767763228239	3.3684089866500497	3.71345840136623	3.9623966772426797
1	PyBDEI (p)					0.2489102799374583	0.9177138832990448	0.2773320651203836	0.6225767763228239	3.309079615084125	3.605785719606286	4.017511853071163
1	PyBDEI (mu)					0.2523725112488919	0.8863457014606139	0.2643477809105065	0.655763290919037	3.3529530620901307	3.782895383330433	3.96239667724268
1	PyBDEI (lambda)					0.2388644448218063	0.907081384137969	0.2618278159461052	0.6750717143467021	3.464419473004668	3.8193039054560978	4.186474888491684
1	PyBDEI (psi)					0.2431025286794313	0.907519244043984	0.2692907505391973	0.6558775770208335	3.3700349611966622	3.71345840136623	4.113490737558951
2	PyBDEI (mu)					0.030297118608495	0.5151569436634953	0.1275443478933536	0.9897413896655868	4.039041730757401	7.840410151582342	33.006439091525
2	PyBDEI (p)					0.0304033451133244	0.5111355422449609	0.1266243155873787	0.997036566631611	4.036630246520426	7.897377335160693	32.891117614612206
2	PyBDEI (lambda)					0.031376515995064	0.4991666375631278	0.1271626759757533	0.9906601804533866	3.9254178455501063	7.863942720037401	31.870970000535188
2	real	157.11786899999998		1.0	0.0	0.030297118608495	0.4991666375631278	0.1276765447281153	0.997036566631611	3.9096189407858226	7.832292157729365	33.00643909152504
2	PyBDEI (psi)					0.0302884546101015	0.5101548242425118	0.1276765447281153	1.0	3.9956816291424255	7.832292157729361	33.015880568118774
3	PyBDEI (psi)					0.1305175544734013	1.635403940142493	0.4226364125557624	0.8402269387206476	3.869529201833074	2.3660999627382098	7.661804605784224
3	PyBDEI (lambda)					0.127447029401197	1.6863982922081189	0.4303953545625939	0.8292929210408693	3.918253936365059	2.3234451519958643	7.846397085114073
3	PyBDEI (mu)					0.120403752385062	1.7156748749065558	0.4226328992483291	0.8509666688876288	4.059492003480935	2.3661196319040547	8.305388994870441
3	real	76.14778349999997		1.0	0.0	0.120403752385062	1.6863982922081189	0.4226364125557624	0.8293398478248979	3.9901869363554106	2.3660999627382098	8.305388994870444
3	PyBDEI (p)					0.1310129380383259	1.6445967592047723	0.4289045652689657	0.8293398478248979	3.834411877088431	2.331520997853918	7.632833939709561
4	PyBDEI (lambda)					0.0464985633715235	0.2622941833873121	0.136625240246561	0.6851011950164301	1.919807664483973	7.319291795537541	21.506040778292405
4	PyBDEI (p)					0.0470623311310005	0.2707122309249473	0.1416740899316732	0.6549452351128721	1.910809739843797	7.0584536698438045	21.248416216707284
4	PyBDEI (mu)					0.046772137207395	0.2667743356045404	0.138956805759777	0.6721100982351568	1.9198364135235613	7.196480910253221	21.380250288026
4	PyBDEI (psi)					0.0468526817564816	0.2712080998814829	0.1425560999861663	0.6592687118048329	1.9024657654621653	7.014782251317483	21.34349545235282
4	real	251.35717519999992		1.0	0.0	0.046772137207395	0.2622941833873121	0.1425560999861663	0.6549452351128721	1.83993658224913	7.014782251317484	21.38025028802603
5	PyBDEI (lambda)					0.951323788977623	0.2873148575232718	0.2072183558482241	0.4135674911174365	1.3865318849152235	4.825827306208548	1.051166817845151
5	PyBDEI (psi)					0.9400069800280304	0.2866314016005383	0.2058475154582213	0.4186941237268126	1.3924452814623007	4.857964876447388	1.0638218877589405
5	PyBDEI (p)					0.8839470699492621	0.2887236038669896	0.2071190392574271	0.4271495730639	1.393998373602615	4.828141360568524	1.1312894561179996
5	real	98.75846699999998		1.0	0.0	0.9240026020199156	0.2873148575232718	0.2058475154582213	0.4271495730639	1.3957654863295401	4.857964876447388	1.0822480345985501
5	PyBDEI (mu)					0.9240026020199156	0.3529793836772565	0.267790674274514	0.2908067414541831	1.3181167889192995	3.7342599876159	1.08224803459855
6	PyBDEI (p)					0.4575852540516784	0.6392214646462914	0.142826580585119	0.032288791520142	4.475507724315645	7.001497871777718	2.1853851083388776
6	PyBDEI (psi)					0.4362673013829891	0.6360209045845575	0.1343323107256829	0.0355080807150246	4.734682974994466	7.444225403388452	2.292172704280037
6	real	49.922702		1.0	0.0	0.4975835768756962	0.6147459861167709	0.1343323107256829	0.032288791520142	4.5763076864815515	7.444225403388454	2.00971263215509
6	PyBDEI (lambda)					0.3938749692686484	0.6147459861167709	0.1057549395619525	0.0479359714087141	5.812929293545152	9.455823095754198	2.53887674521895
6	PyBDEI (mu)					0.4975835768756962	0.6642355104327305	0.1711025377233367	0.02542283637306	3.882090349277941	5.8444486756645535	2.00971263215509
7	PyBDEI (mu)					0.0509387700428008	0.6390425064658407	0.2198416746524116	0.3214981977391843	2.90683059741162	4.548728086160574	19.6314123635054
7	PyBDEI (p)					0.0519890140908106	0.6374944861682398	0.2222840815912576	0.315735053639742	2.8679268511025584	4.498747696377236	19.23483292553445
7	PyBDEI (psi)					0.0510076150025716	0.6286807423607312	0.2150041801769944	0.3269115421100677	2.9240396249188856	4.65107236136891	19.60491585324238
7	real	193.4632812		1.0	0.0	0.0509387700428008	0.6308707935278659	0.2150041801769944	0.315735053639742	2.9342257113723296	4.65107236136891	19.631412363505437
7	PyBDEI (lambda)					0.0519805111429347	0.6308707935278659	0.2197820552079122	0.3197546033499231	2.870438138960284	4.549962002375523	19.23797935057284
8	real	259.53926700000005		1.0	0.0	0.054506245629029	0.4189545259980157	0.2118551247988796	0.969111940083884	1.977552001141071	4.7202067967406025	18.346521365753706
8	PyBDEI (mu)					0.054506245629029	0.4199836980100302	0.2159123806014237	0.9673050912825022	1.9451580165999096	4.63150837953109	18.3465213657537
8	PyBDEI (psi)					0.0568882055276969	0.4101595394761889	0.2118551247988796	0.9676488505894486	1.9360378459835017	4.720206796740602	17.57833615463813
8	PyBDEI (p)					0.0568061044138842	0.4108894022472055	0.2146438358579289	0.969111940083884	1.9142846595379053	4.658880587010624	17.603741892140484
8	PyBDEI (lambda)					0.0564433282908163	0.4189545259980157	0.2170672753213141	0.9604370484910518	1.9300676501230212	4.606866689231477	17.7168857734193
9	PyBDEI (lambda)					0.0404095234770626	0.1952277932119866	0.1666492425169054	0.4881849444188757	1.1714892324949038	6.000627334976077	24.7466417308193
9	PyBDEI (mu)					0.040174735893102	0.2000125794469581	0.1700566700349634	0.4828973644451574	1.176152510841449	5.880392693767325	24.891265064214096
9	real	840.43257879		1.0	0.0	0.040174735893102	0.1952277932119866	0.1653904539507312	0.488340826384015	1.1804054499429801	6.046298175696971	24.89126506421415
9	PyBDEI (p)					0.0403272907023617	0.1981123325307255	0.1685356312703241	0.488340826384015	1.1754922744672405	5.933463401552409	24.79710346476203
9	PyBDEI (psi)					0.0402958418262395	0.195430365521238	0.1653904539507312	0.4902290779820124	1.1816302625268535	6.04629817569697	24.816456355772832
10	PyBDEI (mu)					0.0818265224793332	0.2377986207483403	0.1068673065266414	0.0965233850864362	2.225176515411273	9.357398745243998	12.2209763986068
10	real	225.66247769		1.0	0.0	0.0818265224793332	0.2376218173182294	0.1047980768032791	0.097229373886524	2.2674253628172907	9.542159842085102	12.220976398606803
10	PyBDEI (lambda)					0.0819124284616206	0.2376218173182294	0.1068163070580227	0.0964156979407583	2.224583716315459	9.361866437273465	12.208159601427772
10	PyBDEI (psi)					0.0809664425784567	0.235548350070932	0.1047980768032791	0.0988582325167532	2.2476400069162508	9.542159842085098	12.350795813104885
10	PyBDEI (p)					0.0814315522368133	0.2374311974255965	0.1063575048917954	0.097229373886524	2.232387810029495	9.402251406869375	12.280252218352324
11	PyBDEI (mu)					0.1769383037796349	0.5352324594028176	0.1224719338209154	0.9470676131710348	4.370245840859028	8.165136034042298	5.65168750145494
