	type	T	sampled_tips	observed_trees	unobserved_trees	mu	lambda	psi	p	R_naught	infectious_time	incubation_period
0	real	24.779947875000005		1.0	1.0	0.7299648936648243	1.4210610634344352	0.6069550954814479	0.447322979907068	2.34129521938888	1.6475683414549502	1.3699288947711599
0	zero				0.23801612448168794	0.7288727952354951	1.4479031987853008	0.6238463210003495		2.3209292898667098	1.6029588799954464	1.3719815124625483
0	max				0.23801043266431124	0.729638086832344	1.4465834072221824	0.6232621564494819		2.320987071416126	1.604461284311996	1.3705424895531526
1	real	31.438351200000003		14.0	8.0	0.2523725112488919	0.907081384137969	0.2692907505391973	0.6225767763228239	3.3684089866500497	3.71345840136623	3.9623966772426797
1	zero				1.4795321960455008	0.2471747228221563	0.9221426663557118	0.2772697392409118		3.325796276507795	3.606596243563125	4.045721134355254
1	max				1.4773026677113386	0.246970470613572	0.9230505490439016	0.2770445811452332		3.331776226151909	3.609527375941624	4.0490670707133765
2	real	117.83840175		30.0	0.0	0.030297118608495	0.4991666375631278	0.1276765447281153	0.997036566631611	3.9096189407858226	7.832292157729365	33.00643909152504
2	zero				0.9118847809193003	0.0305505076672755	0.5091239398994505	0.1265642594023999		4.022651752583133	7.90112473080246	32.7326802844314
2	max				0.8746345804921205	0.0309109595212398	0.504906392390224	0.1263835995490263		3.99503095490141	7.912419044625195	32.35098539444789
3	real	57.11083762499998		1.0	0.0	0.120403752385062	1.6863982922081189	0.4226364125557624	0.8293398478248979	3.9901869363554106	2.3660999627382098	8.305388994870444
3	zero				0.038540491137464605	0.1309572013678098	1.6457662200304914	0.4286190701637607		3.8396943453815537	2.3330739801612985	7.636082548766246
3	max				0.03855856208031893	0.1310427897695546	1.6447560378292374	0.4286527088419645		3.8370363791066704	2.332890891326852	7.631095169437026
4	real	188.51788139999996		48.0	25.0	0.046772137207395	0.2622941833873121	0.1425560999861663	0.6549452351128721	1.83993658224913	7.014782251317484	21.38025028802603
4	zero				7.1862000063638	0.0472315690497223	0.269588394803455	0.1415158496544327		1.905004955005127	7.066346295781694	21.1722798992188
4	max				7.172956025917813	0.0471830221087285	0.2698355206833446	0.1413099232178137		1.9095298797057791	7.076643856487064	21.194064205883212
5	max				13.70001556878871	0.8959839645312504	0.2876415705548852	0.2061569185274975		1.395255481161643	4.850673977582851	1.1160914029562654
5	zero				13.715364415588674	0.9031835186662504	0.2868358814155399	0.2058426380706054		1.3934716543865575	4.858079984657956	1.107194694469979
5	real	74.06885024999998		34.0	46.0	0.9240026020199156	0.2873148575232718	0.2058475154582213	0.4271495730639	1.3957654863295401	4.857964876447388	1.0822480345985501
6	real	37.4420265		29.0	869.0	0.4975835768756962	0.6147459861167709	0.1343323107256829	0.032288791520142	4.5763076864815515	7.444225403388454	2.00971263215509
6	max				7.8502865633866685	0.4497422860900496	0.644203647634049	0.1417307421273218		4.545264054677268	7.0556322854900735	2.223495612773612
6	zero				7.9259899679249415	0.4485969597410914	0.6455743849719742	0.1431073005813538		4.5111212520215	6.987763698550923	2.229172486093423
7	real	145.0974609		2.0	4.0	0.0509387700428008	0.6308707935278659	0.2150041801769944	0.315735053639742	2.9342257113723296	4.65107236136891	19.631412363505437
7	max				0.539294328815281	0.0519347152335554	0.638288494028802	0.2223798639098822		2.870262094806675	4.496810018758004	19.254943355381894
7	zero				0.5394990909055062	0.0519651478105482	0.6378365574869119	0.2223131423409166		2.8690906474111686	4.49815962057026	19.24366699861504
