	type	T	sampled_tips	observed_trees	unobserved_trees	mu	lambda	psi	p	R_naught	infectious_time	incubation_period
0	real	0.00-33.04		14	49	0.7299648936648243	1.4210610634344352	0.6069550954814479	0.447322979907068	2.34129521938888	1.6475683414549502	1.3699288947711599
0	max				3.3237228836674673	0.6801956209844758	1.4838634761878895	0.6376416734675249		2.3271118214695274	1.5682789278215676	1.4701653012006426
0	median				3.327644477628083	0.6802136298195697	1.483832755847698	0.637638164080756		2.327076450931774	1.5682875592016028	1.4701263781868872
0	zero				3.3262468536159737	0.6803978049435512	1.4834979491654747	0.6379909982511834		2.3252647031571545	1.5674202343624448	1.469728433475714
0	min				9.473953092941311	0.6811152498732402	1.482857855450439	0.6378446195987744		2.324794800939461	1.5677799408718591	1.4681803119018495
0	mean				3.3282601438611366	0.6802157104058026	1.4838294702443613	0.6376377173525838		2.3270729285041227	1.5682886579418682	1.4701218814887715
1	zero				6.491050419716991	0.244737581140588	0.91878078484615	0.2640270179210145		3.479874113190225	3.787491173722065	4.086009166796317
1	median				7.394511590765285	0.244921591261597	0.9191826825531728	0.2632264217640865		3.491984871400863	3.799010727335867	4.08293933927579
1	max				6.461254204447342	0.2440125917682054	0.921390569908604	0.2634175544424881		3.4978328299292243	3.7962542098473913	4.098149168260664
1	min				703.7288433673808	0.2448440356957679	0.9184253571832506	0.2642355595322922		3.4757825888722214	3.78450198667447	4.084232630614513
1	mean				7.68142383157587	0.2451463244115035	0.9187205858312372	0.2631926651967077		3.490677010868042	3.799497980890194	4.079196383631664
1	real	0.00-41.92		65	182	0.2523725112488919	0.907081384137969	0.2692907505391973	0.6225767763228239	3.3684089866500497	3.71345840136623	3.9623966772426797
2	zero				0.4254842741000425	0.0304509166366525	0.5032133801891564	0.1299781566010912		3.871522672332865	7.693600418330632	32.83973392105839
2	median				1.343358147747492	0.0307703079230467	0.4995969207771071	0.1299663470629732		3.844048340721886	7.69429950597492	32.49886229611008
