	type	mu	lambda	psi	p	R_naught	infectious_time	incubation_period	mu_error	lambda_error	psi_error	p_error	R_naught_error	infectious_time_error	incubation_period_error
0	BEAST2	0.7809485230377046	1.3828551103396454	0.6093322386691236		2.26945994743363	1.64114080388091	1.28049413053531	0.0698439470382123	-0.02688551117040181	0.003916505859119752		-0.030681851378827937	-0.003901226681962122	-0.065284238165361
0	PyBDEI	0.7600750019180698	1.4105678220571032	0.6181869765339788		2.2817818485368413	1.617633560653044	1.3156596355313266	0.041248707320808514	-0.00738408900738691	0.018505291637137652		-0.02541899473385199	-0.018169067739837157	-0.03961465405027384
0	PhyloDeep	0.7538443437118163	1.409438822375368	0.6644546237820815		2.1211965	1.50499366579465	1.32653379751601	0.03271314861061886	-0.008178565550855499	0.09473440247671695		-0.09400724759790431	-0.08653642587863393	-0.031676897553430276
1	BEAST2	0.2392625057739131	0.9975146615185512	0.3052142521634763		3.26824404315258	3.27638697377863	4.17950985159761	-0.05194704213268928	0.09969698305133232	0.13340042891317222		-0.0297365741198446	-0.11769929277430323	0.054793397037172065
1	PhyloDeep	0.2309088061998681	1.0154660675102036	0.3173068691218395		3.200265	3.15152332745756	4.33071400115606	-0.08504771356756878	0.11948727563760593	0.17830585895170967		-0.04991792484714642	-0.15132391780716517	0.0929531679724911
1	PyBDEI	0.2362335647410406	1.000111822267222	0.3051623510007886		3.2773106478807983	3.276944212549391	4.233098717771967	-0.06394890801690725	0.10256018892688787	0.13320769610454883		-0.027044916199398507	-0.11754923352749556	0.06831775376857548
2	PyBDEI	0.0278164962464376	0.5142824118156485	0.1158240926173439		4.440202380990964	8.633782293497168	35.949890710195554	-0.08187651090232254	0.030282020301505147	-0.09283186771705763		0.13571231576305373	0.10233149116850106	0.0891781028092272
2	PhyloDeep	0.0290249254246067	0.5167145111489571	0.1151542840545206		4.4871497	8.68400171309773	34.4531462310742	-0.04199056683666243	0.035154339784196915	-0.09807800407083851		0.14772047300806626	0.10874333314135226	0.04383105779867747
2	BEAST2	0.0285959092892564	0.507670787401602	0.11733639298483		4.32662684174412	8.52250503498336	34.9700367938886	-0.05615086177738361	0.01703669516053886	-0.08098708940866498		0.10666203209934298	0.0881239952946409	0.05949135248787718
4	PyBDEI	0.0419548923259271	0.2973973596040526	0.1542343739943892		1.9282171146548144	6.483638984629836	23.8351225461738	-0.10299390126449608	0.13383131781045224	0.08192054923890417		0.04798020391429466	-0.07571771263290324	0.11481962208471509
4	BEAST2	0.0419376757961771	0.2978749156050028	0.1543378948510991		1.93001800298225	6.47929013781594	23.8449074970234	-0.10336199497964235	0.13565200630145471	0.08264672550719411		0.0489589813052166	-0.07633766727412959	0.11527728514842019
4	PhyloDeep	0.0426403497181075	0.2858134287972129	0.1510774592910639		1.8918337	6.61912110974419	23.4519652538249	-0.08833865065790152	0.08966743031114571	0.059775480009094675		0.028205927449646413	-0.05640390925876308	0.09689853663495833
5	PyBDEI	0.7249879015713365	0.2900410489080379	0.2108792295213958		1.3753893617987174	4.742050709638712	1.37933336243626	-0.2153832684166939	0.009488515172054388	0.024443890187228583		-0.014598530147357527	-0.02386064324397637	0.2745076159439839
5	PhyloDeep	0.7035399870295974	0.3132105483468131	0.2265404691275326		1.382581	4.41422234116167	1.42138331642254	-0.2385952317757287	0.09013000944945547	0.10052564211546794		-0.009446061289430265	-0.0913432983916977	0.31336188284212435
5	BEAST2	1.0814702670993803	0.2614399432678447	0.1892759852076369		1.3812631485238	5.28329042325678	0.924667122547999	0.17041907104507348	-0.0900576965579693	-0.08050391190632399		-0.01039023958378369	0.08755220707162205	-0.14560517276338056
6	BEAST2	0.7084038268033693	0.5286140175813017	0.117161549102208		4.51183875283311	8.53522343860127	1.41162422076747	0.42368811939373785	-0.14010985102895568	-0.12782301987299954		-0.014087543509997037	0.14655628706731752	-0.2975989710261548
6	PyBDEI	0.5182718918066028	0.5942953019099325	0.1087422050625352		5.465176116009108	9.196061450334962	1.9294891654536368	0.04157756785464578	-0.033266885296838314	-0.190498514652999		0.19423266319117471	0.23532818419887047	-0.03991787951067739
6	PhyloDeep	0.3826467915219244	0.7766959063957058	0.1721558463909822		4.511586	5.80869032892967	2.61337615303826	-0.23098990942477338	0.26344201334593603	0.2815669250455901		-0.014142774244122708	-0.21970520582495032	0.30037305395042424
7	PyBDEI	0.0472059249502127	0.6027595745074922	0.1887776239433995		3.192960913038165	5.297237983564336	21.18378150739937	-0.07328102130168454	-0.04455939204789347	-0.12198161083196077		0.08817835678524712	0.138928309858685	0.07907577484235244
7	PhyloDeep	0.0465376064140124	0.5719003425201449	0.1859154766528774		3.0761309	5.37878835050994	21.4879981386172	-0.08640105807600697	-0.09347468865685628	-0.13529366498907508		0.04836205615596667	0.1564619796469578	0.09457219586315303
7	BEAST2	0.0466076776063965	0.6066955646634206	0.1879626372446401		3.22774554324743	5.32020626364411	21.455692524417	-0.0850254616035122	-0.03832041221825498	-0.1257721729414439		0.1000331469857584	0.14386658608731245	0.09292658761031755
8	BEAST2	0.0646608988373455	0.3748785271709514	0.1853432739011849		2.02261738060598	5.39539406503171	15.465296925666	0.18630256204819826	-0.10520473247560302	-0.1251414188014723		0.022788467478431218	0.14304188298642787	-0.15704472704378206
8	PhyloDeep	0.0682188688388885	0.3527991081376636	0.1779168198123505		1.9829441	5.62060406123886	14.6587009872838	0.2515789347002176	-0.15790596295089424	-0.1601958178672705		0.002726653385508291	0.1907537748388489	-0.2010092433846194
8	PyBDEI	0.0653119080922822	0.3734829873470627	0.1860470098397154		2.00746568122126	5.374985606388015	15.311143545018682	0.19824631725319766	-0.10853573796018225	-0.12181963964131007		0.015126621228129265	0.13871824643351505	-0.16544704907388993
9	PhyloDeep	0.0402098160436962	0.1542896131935334	0.1429580173561914		1.0792652	6.99506063733676	24.8695492392528	0.0008731893269328715	-0.2096944259058483	-0.135633200458004		-0.08568263552821237	0.1569162542220179	-0.0008724275325229721
9	BEAST2	0.0390496581204937	0.179356497910516	0.1586360447911679		1.13061629938281	6.30373759832718	25.6084188218587	-0.028004609055848822	-0.0812962900432772	-0.040839171779378465		-0.042179702374785764	0.04257802297362438	0.028811462808115453
9	PyBDEI	0.0391331173372752	0.1784870268448951	0.1581494609774115		1.1285971241494683	6.323132521727849	25.55380373562714	-0.02592720356888871	-0.08574991343017273	-0.043781202604817514		-0.043890280069457666	0.045785758159200676	0.026617316142983655
10	PyBDEI	0.0925571704709407	0.2065665680305027	0.0929320995163913		2.222768764565234	10.760544582591937	10.80413321746866	0.13113899584719274	-0.13069191052493595	-0.11322705195403474		-0.019694848167602075	0.12768437761157855	-0.11593535041109032
10	BEAST2	0.08530040450261	0.2264193064881375	0.105042326181815		2.15550544926275	9.51997196129421	11.7232738324166	0.04245423021801033	-0.04714428564061192	0.0023306666113194984		-0.049359910755994885	-0.0023252472352258496	-0.04072527022038457
10	PhyloDeep	0.0836469672787106	0.2291414049232889	0.1003481925713928		2.2834632	9.96530156025031	11.955006051421	0.022247612928157724	-0.03568869429015139	-0.04246150661943319		0.007073148887592101	0.04434443827894899	-0.02176342859283531
11	PhyloDeep	0.1746344604568052	0.5746480845953242	0.141431584945812		4.0630817	7.07055641342872	5.72624668341071	-0.013020602512947076	0.08145160563751186	0.21616105460376603		-0.11076612629249462	-0.17774048411227308	0.013192375186450996
11	PyBDEI	0.1854393603402704	0.5317077654990283	0.1363634495237171		3.899195622845772	7.333343381182756	5.392598411497204	0.048045315112905114	0.0006406218752000426	0.17258048579255458		-0.14663374156456285	-0.14718007666305882	-0.04584278410493117
11	BEAST2	0.1866788887380981	0.5322448825693955	0.1359223044116149		3.91580237602206	7.35714424743484	5.35679211912898	0.055050742266606424	0.001651442469117042	0.16878710749609377		-0.14299923737611522	-0.14441219141926417	-0.05217828874120239
12	PhyloDeep	1.135752199332012	1.2078845589456169	0.5529269195793549		2.1845284	1.80855726966732	0.880473751746328	0.12687761493039873	-0.034835965373480264	-0.0021327730283982535		-0.03277308990729361	0.002137331471312993	-0.11259218680835643
12	PyBDEI	1.1139366179401948	1.2074815098400595	0.5532134631028425		2.1826683375845257	1.807620505819288	0.8977171446694359	0.10523249697105011	-0.035158023055227514	-0.001615647923679661		-0.03359665549824623	0.0016182624660731114	-0.09521299569045018
12	BEAST2	1.1473888139977602	1.184626070697966	0.5418291171772969		2.18634627254691	1.8456003346767	0.871544142491485	0.13842330296702737	-0.05342073507697872	-0.022160977328607053		-0.031968204401346456	0.022663216352385645	-0.12159212008947838
13	PyBDEI	0.0609848396507782	0.3198765965651755	0.1084386821285834		2.949838473561261	9.22180148606222	16.397517903242356	0.10057299550681838	-0.07540842548093518	0.02767136166542786		-0.10030423245356788	-0.026926274972365462	-0.0913823943685846
13	BEAST2	0.0605343231815056	0.320247585406195	0.111159483492961		2.88097403247177	8.99608354210573	16.5195536588657	0.09244267552972597	-0.07433609583778364	0.05345634528995728		-0.12130777103304365	-0.05074376886043979	-0.08462016140563247
13	PhyloDeep	0.0571145945311449	0.3403920684555881	0.1138066567263802		2.990968	8.78683223604618	17.5086597078912	0.030727976825915482	-0.016109206154355342	0.0785435564949624		-0.08775979614297609	-0.07282372234480061	-0.029811916933254565
14	PhyloDeep	0.1995797490262211	0.3493241990750855	0.1627256067432982		2.146707	6.14531431170211	5.01052839719033	0.21286180530731313	0.1907980253311251	0.31865419943810075		-0.09695959271312926	-0.2416510708978021	-0.17550375844622998
14	PyBDEI	0.3000571852163145	0.2257192974056618	0.1034959050581725		2.180949065364379	9.66221803111847	3.332698063134496	0.8234710742575222	-0.23055404022549042	-0.1613163253101416		-0.08255521957185187	0.19234465887248284	-0.4515953589188803
