	type	mu	lambda	psi	p	R_naught	infectious_time	incubation_period	mu_error	lambda_error	psi_error	p_error	R_naught_error	infectious_time_error	incubation_period_error
0	PyBDEI (p)	0.7600750019180698	1.4105678220571032	0.6181869765339788	0.44732297990706804	2.2817818485368413	1.617633560653044	1.3156596355313266	0.041248707320808514	-0.007384089007387065	0.018505291637137652	0.0	-0.025418994733851806	-0.018169067739837157	-0.03961465405027384
0	PyBDEI (mu)	0.7299648936648243	1.3333908214589592	0.5557948470646198	0.5161664992694314	2.399070139820731	1.7992250293096623	1.3699288947711599	0.0	-0.06169350792258966	-0.0842900056325367	0.06884351936236333	0.024676478196086562	0.09204879945725691	-1.6208476642294838e-16
0	PyBDEI (psi)	0.7432138032088702	1.39861737499623	0.6069550954814479	0.4663296625588771	2.3043177088526154	1.6475683414549502	1.3455078413270043	0.018150064008597866	-0.015793612966893175	0.0	0.019006682651809048	-0.015793612966892738	0.0	-0.01782651168054617
0	PyBDEI (lambda)	0.7348922076539512	1.4210610634344352	0.6113129360464532	0.4624778752887106	2.324604927592191	1.6358233909907165	1.3607437792712094	0.0067500698073151375	0.0	0.007179840152010921	0.015154895381642552	-0.007128657530443833	-0.007128657530443864	-0.006704811859220651
1	PyBDEI (p)	0.2362335647410406	1.000111822267222	0.3051623510007886	0.6225767763228239	3.2773106478807983	3.2769442125493917	4.233098717771967	-0.06394890801690725	0.10256018892688759	0.13320769610454883	0.0	-0.027044916199398507	-0.11754923352749533	0.06831775376857548
1	PyBDEI (mu)	0.2523725112488919	1.0705807794835258	0.3572805315334152	0.5116861287260089	2.996471078031292	2.79892104870112	3.96239667724268	0.0	0.18024776850749252	0.32674639146735307	-0.110890647596815	-0.11041946215345341	-0.24627645009531812	0.0
1	PyBDEI (lambda)	0.25397193954674124	0.9070813841379692	0.2847524632635593	0.6531264682305199	3.1855084719614823	3.5118221227622057	3.9374428599658704	0.0063375693728862596	0.0	0.05741642701579312	0.030549691907695964	-0.054298784801208366	-0.054298784801208436	-0.00629765753139447
1	PyBDEI (psi)	0.2338466404614625	0.9525584698481946	0.2692907505391973	0.6852022113131767	3.5372862526503392	3.71345840136623	4.276306890818036	-0.07340684885113737	0.050135617934044356	0.0	0.06262543499035278	0.05013561793404468	0.0	0.07922230890668858
2	PyBDEI (mu)	0.03029711860849503	0.4833459035034389	0.11489646873594946	1.0	4.206795115820709	8.703487678965667	33.006439091525	0.0	-0.031694293787188604	-0.10009728896862642	0.0029634333683890013	0.07601154474025486	0.11123123393406098	0.0
2	PyBDEI (p)	0.027816496246437696	0.5142824118156485	0.11582409261734393	0.997036566631611	4.4402023809909625	8.633782293497168	35.949890710195554	-0.08187651090232027	0.030282020301505147	-0.09283186771705801	0.0	0.13571231576305418	0.10233149116850168	0.08917810280922836
2	PyBDEI (lambda)	0.028703791040532462	0.4991666375631278	0.1152020705718778	1.0	4.3329658493567065	8.680399536534997	34.8386036739156	-0.052590069324804166	0.0	-0.09770372610569716	0.0029634333683890013	0.1082834196843223	0.10828341968432252	0.05550930766297168
2	PyBDEI (psi)	0.02720385289635848	0.5207280393655679	0.12767654472811538	1.0	4.078494139032723	7.832292157729361	36.759498877229284	-0.10209768632153772	0.04319479744820346	0.0	0.0029634333683890013	0.043194797448203454	0.0	0.11370689747225554
3	PyBDEI (psi)	0.10500209261375196	2.0542168580941467	0.4226364125557624	0.9214617407737459	4.860482431392763	2.3660999627382098	9.523619721356217	-0.12791677556737768	0.21810895301869482	0.0	0.09212189294884798	0.21810895301869482	0.0	0.1466795507396677
3	PyBDEI (lambda)	0.12878071478820566	1.6863982922081189	0.42461533074493374	0.9261679102511974	3.971590684795923	2.355072762553408	7.765137828630725	0.06957393135351232	0.0	0.004682318253660276	0.09682806242629949	-0.004660496326639051	-0.0046604963266389425	-0.06504826764566773
3	PyBDEI (mu)	0.12040375238506205	1.8913711468492136	0.4372721426511237	0.9001666441314766	4.325386784033571	2.2869053444318017	8.305388994870441	0.0	0.1215447475179244	0.03462960043328084	0.07082679630657873	0.08400605110103648	-0.03347052937474321	0.0
3	PyBDEI (p)	0.11035473384315808	2.102078169923165	0.4669306193906238	0.8293398478248979	4.501906884295831	2.1416458001941883	9.061686482985428	-0.08346100800717826	0.2464897406713852	0.10480452114148411	0.0	0.12824460510309313	-0.09486250204081322	0.09106105548844126
4	PyBDEI (lambda)	0.039588066068820565	0.2622941833873122	0.13361445248451498	0.793913466055203	1.963067456476764	7.4842203175281	25.26013769557683	-0.15359723902970684	0.0	-0.06272371019212143	0.1389682309423309	0.06692125990403398	0.06692125990403351	0.1814706261752119
4	PyBDEI (p)	0.04195489232592713	0.2973973596040526	0.1542343739943892	0.6549452351128721	1.9282171146548144	6.483638984629836	23.8351225461738	-0.10299390126449666	0.13383131781045224	0.08192054923890375	0.0	0.047980203914295035	-0.075717712632903	0.11481962208471676
4	PyBDEI (mu)	0.04677213720739507	0.274645606356394	0.1482982739206505	0.6831359881793658	1.851981139735637	6.7431668188873655	21.380250288025998	0.0	0.047089961392103384	0.040280099799597256	0.028190753066493768	0.0065461807774829335	-0.03872043674329347	0.0
