	type	T	sampled_tips	observed_trees	unobserved_trees	mu	mu_min	mu_max	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	p	R_naught	R_naught_min	R_naught_max	infectious_time	infectious_time_min	infectious_time_max	incubation_period	incubation_period_min	incubation_period_max
0	BEAST2			1	0	0.7809485230377045			1.3828551103396456			0.6093322386691237				2.26945994743363	1.9118314292938068	2.725585805133661	1.6411408038809099	1.3374944529703725	2.0509388681359075	1.2804941305353101	0.9364849575983046	1.6643589014470987
0	real	20.8580478		1.0	0.0	0.7299648936648243			1.4210610634344352			0.6069550954814479			0.447322979907068	2.34129521938888			1.6475683414549502			1.3699288947711599		
0	PyBDEI					0.7660350913367895	0.5487782624513107	1.1736755824894831	1.4026539207420892	1.0855626985359803	1.774236956730746	0.6200442083457729	0.4597435196892707	0.8185776228597756		2.262183731195965			1.6127882279038102			1.3054232257884215		
0	PhyloDeep			1	0	0.7538443437118164			1.409438822375368			0.6644546237820815				2.1211965	1.74129355175	2.6042368932900004	1.50499366579465	1.24132741124	1.90943942761	1.3265337975160099	0.901310724321	1.85879604361
1	BEAST2			1	0	0.23926250577391314			0.9975146615185512			0.30521425216347636				3.2682440431525803	2.476518913940601	4.353855311931452	3.2763869737786298	2.568132159484837	4.255108865634232	4.17950985159761	3.0544331541903187	5.9474081499398395
1	real	26.8040282		1.0	0.0	0.2523725112488919			0.9070813841379691			0.2692907505391973			0.6225767763228239	3.36840898665005			3.71345840136623			3.9623966772426797		
1	PhyloDeep			1	0	0.23090880619986806			1.0154660675102036			0.3173068691218394				3.2002650000000004	2.40815628793	4.2258294837	3.1515233274575603	2.48049128156	4.09061294794	4.3307140011560605	3.14971494455	5.99190777944
1	PyBDEI					0.22950973499790986	0.14867516517395207	0.3131790162594457	1.0228158654536643	0.7628684919339935	1.378077262645369	0.3132178713753854	0.21745992155883043	0.4378610035546034		3.265509279410944			3.1926658450517333			4.357113653628275		
2	PyBDEI					0.02742658293697084	0.021338656553691125	0.034115989588027265	0.5193563608744918	0.4494282960350597	0.6833876401857099	0.11661610073836808	0.09402432134490578	0.14263326402377047		4.453556220677316			8.575145230104475			36.460976648024456		
2	real	219.89081170000009		1.0	0.0	0.03029711860849503			0.4991666375631278			0.12767654472811538			0.997036566631611	3.90961894078582			7.832292157729361			33.006439091525		
2	PhyloDeep			1	0	0.029024925424606756			0.5167145111489572			0.11515428405452065				4.487149700000001	3.7550780322199993	4.961333428580001	8.68400171309773	7.52862300125	10.0	34.4531462310742	28.8964602239	38.9493590571
2	BEAST2			1	0	0.02859590928925648			0.507670787401602			0.11733639298483				4.32662684174412			8.52250503498336			34.9700367938886		
3	real	26.9132955		1.0	0.0	0.12040375238506205			1.6863982922081189			0.4226364125557624			0.8293398478248979	3.9901869363554106			2.3660999627382098			8.305388994870441		
3	BEAST2			1	0	0.0398406374501992			0.5454545454545454			0.18181818181818182				3.0	2.4862662145778063	4.936529205256375	5.5	1.7152963700827082	9.639670242689482	25.1	0.2026452043627373	11.728237994405514
3	PhyloDeep			1	0	0.12030446569588982			1.9030033095218386			0.45474755007796247				4.184746700000001			2.19902229232144			8.312243391927261		
3	PyBDEI					0.1052375498051578	0.06617602337079057	0.1725832645635632	2.1805355472242334	1.6257176602408996	2.6809126148144578	0.4769107701469672	0.34154920237483855	0.6463739715884746		4.572208647232414			2.0968283012183497			9.502311692465774		
4	real	292.82761599999986		1.0	0.0	0.04677213720739507			0.2622941833873122			0.14255609998616636			0.6549452351128721	1.83993658224913			7.014782251317481			21.380250288025998		
4	PyBDEI					0.04203922824552602	0.03294873907682481	0.05147429811524951	0.2958131052560993	0.24473361677259242	0.34412281061840194	0.15404490775550586	0.12647543515467632	0.18854787863105535		1.920304342196124			6.491613481876088			23.78730632635779		
4	BEAST2			1	0	0.041937675796177104			0.29787491560500273			0.15433789485109908				1.9300180029822498	1.6587180756447797	2.2531015600745734	6.479290137815941	5.603688778635028	7.493596470952981	23.844907497023396	20.38355020624422	28.348718420276985
4	PhyloDeep			1	0	0.042640349718107526			0.28581342879721294			0.15107745929106398				1.8918337	1.6278741922	2.23270941381	6.6191211097441895	5.60061068051	7.92032074296	23.4519652538249	17.9945734949	30.0683197679
5	PyBDEI					0.7277506504990116	0.54813390469432	1.0248888685077668	0.2898073138565459	0.2524935352079348	0.33262451600522336	0.21110161363471627	0.17494762287924612	0.2525080342794639		1.3728332477743137			4.737055216121508			1.374097019788728		
5	real	105.7528908		1.0	0.0	0.9240026020199156			0.2873148575232717			0.20584751545822128			0.4271495730639	1.39576548632954			4.857964876447389			1.0822480345985501		
5	PhyloDeep			1	0	0.7035399870295974			0.31321054834681317			0.2265404691275326				1.382581	1.23618078605	1.55709695606	4.41422234116167	3.63266010576	5.36361556859	1.42138331642254	0.558679358972	2.40599278785
5	BEAST2			1	0	1.0814702670993803			0.26143994326784475			0.1892759852076369				1.3812631485238	1.248310620143565	1.5366422842041898	5.283290423256781	3.983444310177657	6.426902800379884	0.924667122547999	0.2961333783676927	2.01569578155052
6	BEAST2			1	0	0.7084038268033693			0.5286140175813018			0.11716154910220809				4.5118387528331105	3.6842553362343784	4.97406461367213	8.53522343860127	6.1399634246673385	9.932251112721758	1.41162422076747	0.5991938915692463	2.7443742063257783
6	PyBDEI					0.4410263989962341	0.3042596253946541	0.6287474667985575	0.6433592639257285	0.5393403659953766	0.7447046546753591	0.1175605064234045	0.07184511289411735	0.19002237966282415		5.472579895229557			8.506258014901809			2.26743796352322		
6	PhyloDeep			1	0	0.3826467915219245			0.7766959063957058			0.1721558463909822				4.511586	3.58128609349	5.0	5.80869032892967	4.2409180612	7.54143371625	2.6133761530382595	1.4681040498	4.7146507386400005
6	real	35.586895		1.0	0.0	0.4975835768756962			0.6147459861167709			0.13433231072568294			0.032288791520142	4.576307686481551			7.444225403388452			2.00971263215509		
7	PyBDEI					0.04656498578755229	0.035421171663056986	0.06146847386068015	0.6108601144721919	0.518110701129939	0.7102074041614286	0.19112933749501548	0.14143513304551586	0.2541444599472725		3.19605625425308			5.232059154843665			21.475363582464986		
7	PhyloDeep			1	0	0.04653760641401248			0.5719003425201449			0.18591547665287744				3.0761309	2.45061254777	4.00203120853	5.37878835050994	4.1909948566800015	6.70030071378	21.4879981386172	15.8376252773	26.4677800442
