	type	T	sampled_tips	observed_trees	unobserved_trees	mu	lambda	psi	p	R_naught	infectious_time	incubation_period
0	real	0.0		3.0	0.0	0.7299648936648243	1.4210610634344352	0.6069550954814479	0.447322979907068	2.34129521938888	1.6475683414549502	1.3699288947711599
0	PyBDEI (p)					0.7989969892922473	1.3973664756198148	0.587185740727214	0.447322979907068	2.379769089571578	1.7030386309475545	1.2515691716007609
0	PyBDEI (mu)					0.7299648936648243	1.285332459120731	0.4888392367177133	0.5777804317426527	2.6293561616514904	2.0456623054942358	1.36992889477116
0	PyBDEI (psi)					0.7915441764261666	1.4223888249605108	0.6069550954814479	0.4400905490092213	2.343482797244244	1.6475683414549502	1.2633533664728789
0	PyBDEI (lambda)					0.7621590817047144	1.4210610634344352	0.5837658968378637	0.4634640834267793	2.4342995559213407	1.7130154492011067	1.3120620405956576
1	real	0.0		1.0	0.0	0.2523725112488919	0.9070813841379691	0.2692907505391973	0.6225767763228239	3.36840898665005	3.71345840136623	3.9623966772426797
1	PyBDEI (p)					0.2475846737309109	0.9623769746209696	0.29803983564121217	0.6225767763228239	3.229021290226127	3.3552561785862247	4.039022225934942
1	PyBDEI (mu)					0.2523725112488919	1.0323747148132647	0.3382780525766896	0.5373420932469615	3.0518524833331284	2.9561480337932777	3.96239667724268
1	PyBDEI (lambda)					0.263440382052457	0.9070813841379691	0.2907303975563917	0.6247226531598717	3.1200087495564555	3.4396128110616098	3.7959252572025086
1	PyBDEI (psi)					0.2457022357220557	0.9253436522100053	0.2692907505391973	0.672681167358223	3.4362251594501547	3.71345840136623	4.0699670357547095
2	PyBDEI (mu)					0.03029711860849503	0.4895992741163205	0.11144559898400794	1.0	4.393168313327262	8.972987799576517	33.006439091525
2	PyBDEI (p)					0.03356103299544983	0.4563493689860053	0.11100479451701536	0.997036566631611	4.111078003176285	9.008619892059842	29.796460679132814
2	PyBDEI (lambda)					0.030171515178946305	0.4991666375631278	0.11142658243455957	1.0	4.479780557357457	8.974519169043855	33.14384425405988
2	real	0.0		4.0	0.0	0.03029711860849503	0.4991666375631278	0.12767654472811538	0.997036566631611	3.90961894078582	7.832292157729361	33.006439091525
2	PyBDEI (psi)					0.03411513198687161	0.4738237505150649	0.12767654472811538	0.9280012246329172	3.711126045305056	7.832292157729361	29.31250567592193
3	PyBDEI (psi)					0.10023130773382366	2.146888666223238	0.4226364125557624	0.9481122834791093	5.079753193153888	2.3660999627382098	9.976922606413764
3	PyBDEI (lambda)					0.12892602361596822	1.6863982922081189	0.4574144663088734	0.9433494936675356	3.686805766806165	2.186201079448897	7.756385964238675
3	PyBDEI (mu)					0.12040375238506205	1.9217398981501903	0.4693456405357662	0.921634191919498	4.094508891051999	2.130625947347636	8.305388994870441
3	real	0.0		1.0	0.0	0.12040375238506205	1.6863982922081189	0.4226364125557624	0.8293398478248979	3.9901869363554106	2.3660999627382098	8.305388994870441
3	PyBDEI (p)					0.10528906915102172	2.2318399813166385	0.5070759811138829	0.8293398478248979	4.401391634472617	1.972091042063009	9.497662084614374
4	PyBDEI (lambda)					0.03942971129339227	0.2622941833873122	0.1307317503673773	0.8170420444274997	2.006354100287216	7.64925121242421	25.361585646902327
4	PyBDEI (p)					0.042608873680519466	0.2982080530568325	0.1534515046240405	0.6549452351128721	1.9433374328094641	6.516716811933657	23.46928969533392
4	PyBDEI (mu)					0.04677213720739507	0.26941439589114297	0.14322407762752726	0.7138388841000468	1.8810691634669832	6.9820662598409555	21.380250288025998
4	PyBDEI (psi)					0.03953154045831138	0.2821837479644011	0.14255609998616636	0.7664653653096379	1.979457546830926	7.014782251317482	25.296256821930985
4	real	0.0		3.0	0.0	0.04677213720739507	0.2622941833873122	0.14255609998616636	0.6549452351128721	1.83993658224913	7.014782251317481	21.380250288025998
5	PyBDEI (lambda)					0.5948165819519591	0.2873148575232717	0.19715104058404206	0.5026882353428568	1.4573337106014124	5.072253217825229	1.6811905221579144
5	PyBDEI (psi)					0.5970527082774447	0.2961407185928479	0.20584751545822128	0.4753009211131695	1.4386412094099454	4.857964876447388	1.6748940020473193
5	PyBDEI (p)					0.6373170418398759	0.3068317245554639	0.2165192465292251	0.4271495730639	1.4171106239927207	4.618527064128791	1.5690777656173944
5	real	0.0		3.0	0.0	0.9240026020199156	0.2873148575232717	0.20584751545822128	0.4271495730639	1.39576548632954	4.857964876447389	1.0822480345985501
5	PyBDEI (mu)					0.9240026020199156	0.18029590386256306	0.10697281845058038	1.0	1.685436604120669	9.348169137583142	1.08224803459855
6	PyBDEI (p)					0.4944986727595604	0.6087578174807483	0.1095881975774213	0.032288791520142	5.554957841611331	9.125070236633148	2.0222501193369817
6	PyBDEI (psi)					0.5503918948339095	0.6197812556093519	0.13433231072568294	0.0254685180602132	4.613791367551127	7.444225403388451	1.816887220517242
