	type	T	sampled_tips	observed_trees	unobserved_trees	mu	lambda	psi	p	R_naught	infectious_time	incubation_period
0	real	20.8580478		1.0	0.0	0.7299648936648243	1.4210610634344352	0.6069550954814479	0.447322979907068	2.34129521938888	1.6475683414549502	1.3699288947711599
0	PyBDEI (p)					0.7600750019180698	1.4105678220571032	0.6181869765339788	0.447322979907068	2.2817818485368413	1.617633560653044	1.3156596355313266
0	PyBDEI (mu)					0.7299648936648243	1.3333908214589592	0.5557948470646198	0.5161664992694314	2.399070139820731	1.7992250293096623	1.36992889477116
0	PyBDEI (psi)					0.7432138032088702	1.39861737499623	0.6069550954814479	0.4663296625588771	2.3043177088526154	1.6475683414549502	1.3455078413270043
0	PyBDEI (lambda)					0.7348922076539512	1.4210610634344352	0.6113129360464532	0.4624778752887106	2.324604927592191	1.6358233909907165	1.3607437792712094
1	real	26.8040282		1.0	0.0	0.2523725112488919	0.9070813841379691	0.2692907505391973	0.6225767763228239	3.36840898665005	3.71345840136623	3.9623966772426797
1	PyBDEI (p)					0.2362335647410406	1.000111822267222	0.3051623510007886	0.6225767763228239	3.2773106478807983	3.2769442125493913	4.233098717771967
1	PyBDEI (mu)					0.2523725112488919	1.0705807794835258	0.3572805315334152	0.5116861287260089	2.9964710780312918	2.79892104870112	3.96239667724268
1	PyBDEI (lambda)					0.25397193954674124	0.9070813841379691	0.2847524632635593	0.6531264682305199	3.1855084719614823	3.5118221227622057	3.9374428599658704
1	PyBDEI (psi)					0.2338466404614625	0.9525584698481946	0.2692907505391973	0.6852022113131767	3.5372862526503392	3.71345840136623	4.276306890818036
2	PyBDEI (mu)					0.03029711860849503	0.4833459035034389	0.11489646873594946	1.0	4.206795115820709	8.703487678965667	33.006439091525
2	PyBDEI (p)					0.027816496246437696	0.5142824118156485	0.11582409261734393	0.997036566631611	4.440202380990963	8.633782293497168	35.949890710195554
2	PyBDEI (lambda)					0.028703791040532462	0.4991666375631278	0.1152020705718778	1.0	4.3329658493567065	8.680399536534997	34.8386036739156
2	real	219.89081170000009		1.0	0.0	0.03029711860849503	0.4991666375631278	0.12767654472811538	0.997036566631611	3.90961894078582	7.832292157729361	33.006439091525
2	PyBDEI (psi)					0.02720385289635848	0.5207280393655679	0.12767654472811538	1.0	4.078494139032723	7.832292157729361	36.759498877229284
3	PyBDEI (psi)					0.10500209261375196	2.0542168580941467	0.4226364125557624	0.921461740773746	4.860482431392763	2.3660999627382098	9.523619721356217
3	PyBDEI (lambda)					0.12878071478820566	1.6863982922081189	0.42461533074493374	0.9261679102511974	3.971590684795923	2.3550727625534082	7.765137828630725
3	PyBDEI (mu)					0.12040375238506205	1.8913711468492136	0.4372721426511237	0.9001666441314766	4.325386784033571	2.2869053444318017	8.305388994870441
3	real	26.9132955		1.0	0.0	0.12040375238506205	1.6863982922081189	0.4226364125557624	0.8293398478248979	3.9901869363554106	2.3660999627382098	8.305388994870441
3	PyBDEI (p)					0.11035473384315808	2.102078169923165	0.4669306193906238	0.8293398478248979	4.501906884295831	2.141645800194188	9.061686482985428
4	PyBDEI (lambda)					0.039588066068820565	0.2622941833873122	0.13361445248451498	0.793913466055203	1.963067456476764	7.4842203175281	25.260137695576827
4	PyBDEI (p)					0.04195489232592713	0.2973973596040526	0.1542343739943892	0.6549452351128721	1.9282171146548144	6.483638984629836	23.8351225461738
4	PyBDEI (mu)					0.04677213720739507	0.274645606356394	0.1482982739206505	0.6831359881793658	1.851981139735637	6.7431668188873655	21.380250288025998
4	PyBDEI (psi)					0.039302234803432784	0.2816015594742331	0.14255609998616636	0.7543584978470219	1.9753736213431743	7.014782251317482	25.443845750793205
4	real	292.82761599999986		1.0	0.0	0.04677213720739507	0.2622941833873122	0.14255609998616636	0.6549452351128721	1.83993658224913	7.014782251317481	21.380250288025998
5	PyBDEI (lambda)					0.724441682504362	0.2873148575232717	0.20830895526521687	0.43441946315640817	1.3792727113314225	4.8005617364208355	1.3803733608246358
5	PyBDEI (psi)					0.7299157980458699	0.2845588751421165	0.20584751545822128	0.4397969461755888	1.3823770207217805	4.857964876447388	1.3700210389707954
5	PyBDEI (p)					0.7249879015713365	0.2900410489080379	0.21087922952139584	0.4271495730639	1.3753893617987174	4.742050709638712	1.37933336243626
5	real	105.7528908		1.0	0.0	0.9240026020199156	0.2873148575232717	0.20584751545822128	0.4271495730639	1.39576548632954	4.857964876447389	1.0822480345985501
5	PyBDEI (mu)					0.9240026020199156	0.28314210365371045	0.20847087768099407	0.38984795913270776	1.3581854060545553	4.7968330690784455	1.08224803459855
6	PyBDEI (p)					0.5182718918066028	0.5942953019099325	0.10874220506253528	0.032288791520142	5.465176116009108	9.196061450334962	1.9294891654536372
6	PyBDEI (psi)					0.5194190181980879	0.6286721107247322	0.13433231072568294	0.026528637377553427	4.6799768970588875	7.444225403388451	1.9252279276740607
6	real	35.586895		1.0	0.0	0.4975835768756962	0.6147459861167709	0.13433231072568294	0.032288791520142	4.576307686481551	7.444225403388452	2.00971263215509
6	PyBDEI (lambda)					0.2455858309740443	0.6147459861167709	0.009910071659304884	0.5131517766247776	62.03244610643821	100.90744389936556	4.071896151474997
6	PyBDEI (mu)					0.4975835768756962	0.4387807179518863	0.00761560839999325	0.5497928253045267	57.61597693918654	131.3092726775298	2.00971263215509
7	PyBDEI (mu)					0.050938770042800896	0.6185552588682696	0.2057142440616213	0.27971942300281544	3.0068664505457514	4.8611120953804825	19.6314123635054
7	PyBDEI (p)					0.04720592495021278	0.6027595745074922	0.1887776239433995	0.315735053639742	3.192960913038165	5.297237983564336	21.18378150739937
7	PyBDEI (psi)					0.05130982831783884	0.6354813332186503	0.2150041801769944	0.2695998338833622	2.9556696650991316	4.65107236136891	19.48944350009316
7	real	94.580591		1.0	0.0	0.050938770042800896	0.6308707935278659	0.2150041801769944	0.315735053639742	2.9342257113723296	4.65107236136891	19.6314123635054
7	PyBDEI (lambda)					0.04962369077179995	0.6308707935278659	0.2064784929145644	0.28089546134598525	3.0553825951689046	4.843119425584799	20.15166515119988
8	real	126.1754581		1.0	0.0	0.05450624562902902	0.41895452599801575	0.21185512479887966	0.969111940083884	1.9775520011410708	4.720206796740601	18.3465213657537
8	PyBDEI (mu)					0.05450624562902902	0.4218700401283504	0.1971559424332504	0.9354439642974152	2.1397784663334702	5.072127107396535	18.3465213657537
8	PyBDEI (psi)					0.0687501284705283	0.4070314723823614	0.21185512479887966	0.846262619230891	1.921272722426556	4.7202067967406	14.54542736496381
8	PyBDEI (p)					0.0653119080922822	0.3734829873470628	0.18604700983971545	0.969111940083884	2.00746568122126	5.374985606388014	15.311143545018682
8	PyBDEI (lambda)					0.06858042603425832	0.41895452599801575	0.21652633303262173	0.8285099438060672	1.934889489561052	4.6183759083443245	14.581420061468634
9	PyBDEI (lambda)					0.04318859729689176	0.1952277932119866	0.176194611577047	0.3890509225566313	1.1080236306013065	5.6755424643773305	23.154259748833493
9	PyBDEI (mu)					0.04017473589310208	0.2033339695385315	0.1806809772845767	0.4057278740533952	1.1253756349694513	5.534616953200209	24.891265064214096
9	real	726.0702309999998		1.0	0.0	0.04017473589310208	0.1952277932119866	0.16539045395073124	0.488340826384015	1.18040544994298	6.04629817569697	24.891265064214096
9	PyBDEI (p)					0.03913311733727527	0.17848702684489515	0.1581494609774115	0.488340826384015	1.1285971241494683	6.323132521727848	25.55380373562714
9	PyBDEI (psi)					0.04221341800791458	0.1878902797645602	0.16539045395073124	0.4101061686104357	1.1360406557716538	6.04629817569697	23.68915020841265
10	PyBDEI (mu)					0.08182652247933321	0.2014419385542573	0.08386017366486177	0.11642226554205885	2.4021168780224387	11.924611604030217	12.220976398606801
10	real	165.941217		1.0	0.0	0.08182652247933321	0.23762181731822946	0.10479807680327913	0.097229373886524	2.2674253628172907	9.542159842085098	12.220976398606801
10	PyBDEI (lambda)					0.10774863875343492	0.23762181731822946	0.12103073825369927	0.06693484831114484	1.9633179202801945	8.262363879032485	9.280859708012981
10	PyBDEI (psi)					0.10006986671495156	0.21894198062217216	0.10479807680327913	0.08152973995769157	2.0891793752394654	9.542159842085098	9.993018206454641
10	PyBDEI (p)					0.09255717047094073	0.2065665680305027	0.0929320995163914	0.097229373886524	2.222768764565234	10.760544582591937	10.80413321746866
11	PyBDEI (mu)					0.17693830377963493	0.5413406971119327	0.13571605276880766	1.0	3.988774253802583	7.3683251140784405	5.65168750145494
11	PyBDEI (p)					0.18543936034027045	0.5317077654990283	0.13636344952371715	0.9794623100045532	3.899195622845772	7.333343381182757	5.392598411497204
11	PyBDEI (psi)					0.1983523873138864	0.5156325999904992	0.11629346656877736	1.0	4.4338913887784726	8.59893534439089	5.041532464227575
11	PyBDEI (lambda)					0.18335140363507585	0.5313673599444806	0.13428072720000253	1.0	3.957137937993462	7.447085079533149	5.454007878719593
11	real	41.7766849		1.0	0.0	0.17693830377963493	0.5313673599444806	0.11629346656877736	0.9794623100045532	4.569193572282271	8.59893534439089	5.65168750145494
12	PyBDEI (lambda)					1.0643326069846115	1.251481111615416	0.5622771943455717	0.8628528404311934	2.2257369215765563	1.7784822327071066	0.9395559183638338
12	PyBDEI (psi)					1.0859254851680455	1.204891856448596	0.5541087076859079	0.8846273792954089	2.1744683664700304	1.80470002750226	0.9208734979133962
12	PyBDEI (p)					1.1139366179401948	1.2074815098400595	0.5532134631028425	0.859900914773923	2.1826683375845257	1.807620505819288	0.8977171446694359
12	PyBDEI (mu)					1.0078753755368204	1.1738359767902842	0.5080144006020283	1.0	2.3106352406530526	1.9684481361452324	0.992186161376722
12	real	14.16820073		1.0	0.0	1.0078753755368204	1.251481111615416	0.5541087076859079	0.859900914773923	2.258547996550901	1.8047000275022604	0.992186161376722
13	PyBDEI (p)					0.060984839650778215	0.31987659656517553	0.10843868212858347	0.82375001633051	2.9498384735612615	9.22180148606222	16.397517903242356
13	PyBDEI (lambda)					0.05608302118544341	0.3459652947103291	0.11016347267146236	0.8275733797634369	3.1404719397516843	9.077419000599896	17.830708454407485
13	real	147.63531399999997		1.0	0.0	0.05541189898330598	0.3459652947103291	0.10551883235594836	0.82375001633051	3.2787066250248	9.476981290189832	18.046665397648102
13	PyBDEI (mu)					0.05541189898330598	0.3189770795216543	0.10107786489209487	0.9134683910314452	3.1557560091141275	9.893362914497102	18.046665397648106
13	PyBDEI (psi)					0.059481888736010576	0.31513859378592884	0.10551883235594836	0.8688008931274999	2.9865625571259806	9.47698129018983	16.811840061739602
14	real	109.926551		1.0	0.0	0.16455275296236402	0.29335302179221284	0.12340278961128565	0.014676794147326	2.3771992733410996	8.103544523993047	6.077078517359821
14	PyBDEI (lambda)					0.29134053143666666	0.29335302179221284	0.15577720781828036	0.009294845332995813	1.8831575292735991	6.41942434330018	3.4324094730958707
14	PyBDEI (mu)					0.16455275296236402	0.17242130604116335	0.041813897381211884	0.05635075008743262	4.123540660876948	23.915493714521023	6.077078517359822
14	PyBDEI (psi)					0.2746695604221784	0.2547675854368194	0.12340278961128565	0.01278486047819457	2.064520471857469	8.10354452399305	3.6407383419661032
14	PyBDEI (p)					0.3000571852163145	0.2257192974056619	0.10349590505817254	0.014676794147326	2.1809490653643793	9.66221803111847	3.332698063134496
15	real	43.22401050000001		1.0	0.0	0.13900879634992494	1.152667875605596	0.29923404176890217	0.025057708098227	3.8520613122480194	3.34186576530052	7.193789359075621
15	PyBDEI (lambda)					0.09101812227862814	1.152667875605596	0.20154326762624108	0.0518523749810989	5.719208034987313	4.961713739079019	10.986823008046265
15	PyBDEI (p)					0.15058433199049215	1.1484801998226877	0.33219109404693903	0.025057708098227	3.4572877491423832	3.010315501892109	6.640797131956196
15	PyBDEI (mu)					0.13900879634992494	1.0084551308426053	0.2556054831942568	0.035401720773246034	3.9453579721378382	3.912279140115368	7.1937893590756214
15	PyBDEI (psi)					0.1298260309430938	1.1526212381398075	0.29923404176890217	0.03167944314540179	3.8519054560977213	3.34186576530052	7.702615513512282
16	PyBDEI (mu)					0.13542830635455294	1.3199315465958754	0.28428497594449104	0.2631062716223107	4.642987348207957	3.5175970755319064	7.38398069737347
16	PyBDEI (lambda)					0.2649523013953727	2.229957450884843	0.9760949311772794	0.06222971676161228	2.2845702601849043	1.0244905163003852	3.774264253352376
16	PyBDEI (p)					0.1921164014709748	1.5466115112227252	0.4910703301378002	0.129623054853193	3.1494704858033837	2.036368191332977	5.205177654501724
16	PyBDEI (psi)					0.19890416589241752	1.6408030521922088	0.558194370222384	0.11967148844979893	2.939483340791335	1.7914906587137398	5.027546786229083
16	real	32.883542		1.0	0.0	0.13542830635455294	2.229957450884843	0.558194370222384	0.129623054853193	3.9949479425892997	1.7914906587137398	7.383980697373472
17	PyBDEI (lambda)					0.0516805883102397	0.1780435041793793	0.11251732753177074	0.7203157512612386	1.5823652061866331	8.887520010796887	19.349624930679546
17	real	249.2050486		1.0	0.0	0.04589083049938593	0.1780435041793793	0.10629174696085814	0.758180898887686	1.67504542234068	9.408068157617631	21.790845559297104
17	PyBDEI (mu)					0.04589083049938593	0.1684951227887016	0.1032658630771145	0.8156253879698269	1.6316633374078005	9.683742237773613	21.790845559297104
17	PyBDEI (psi)					0.05133380497325892	0.1676748142135461	0.10629174696085814	0.7631085175240164	1.5774960804369151	9.408068157617633	19.48034049922708
17	PyBDEI (p)					0.05146330343691252	0.16826045374508494	0.10689552599424093	0.758180898887686	1.574064509997828	9.354928475246712	19.43132160619796
18	PyBDEI (mu)					0.11441676995950904	1.2918268828544228	0.4282573056666169	0.5873258884380788	3.0164736614208847	2.335044812471838	8.739977543098709
18	PyBDEI (p)					0.10966345375769504	1.2579963513832566	0.4022845100562459	0.638127425862025	3.127130973070199	2.485802895717222	9.118808187543797
18	PyBDEI (lambda)					0.1185451585659658	1.1752395018773178	0.3982253066332713	0.6280880285647892	2.9511924086723225	2.5111412643619553	8.435603883759947
18	real	82.33229614		1.0	0.0	0.11441676995950904	1.1752395018773178	0.35080214809420524	0.638127425862025	3.350149103310839	2.8506096825024505	8.739977543098709
18	PyBDEI (psi)					0.10716324609578393	1.193852282421085	0.35080214809420524	0.6884859613924347	3.403206875747196	2.8506096825024505	9.331557566912325
19	PyBDEI (psi)					0.05624492052318148	0.6734398452545971	0.16749359872269595	0.7322135212401744	4.020690046606203	5.970377421143179	17.779383288271298
19	real	70.002354		1.0	0.0	0.06327962770624318	0.7341348163315163	0.16749359872269595	0.5576676637930279	4.38306193150078	5.970377421143179	15.802874262190702
19	PyBDEI (p)					0.06596465509624072	0.6953824174793852	0.18413144351396551	0.5576676637930279	3.7765544233440163	5.4309029512613085	15.159633572570431
19	PyBDEI (lambda)					0.04281663703790111	0.7341348163315163	0.12660803615977248	0.9277556961421688	5.798485140430406	7.898392790312728	23.35540736454393
19	PyBDEI (mu)					0.06327962770624318	0.5586127789675858	0.12726103959428586	0.8835761541391252	4.389503502002416	7.857864458659514	15.802874262190702
20	real	178.80397289999996		1.0	0.0	0.04962716998629897	0.4778842627671261	0.2134527356580541	0.5988352752009151	2.23882941248729	4.684877881359061	20.150252377398896
