	type	loglk	diff with max	diff with real
0	PyBDEI	-863.7367687515743	0.0	0.12400131419497029
0	BEAST2	-863.7591324835028	0.022363731928408015	0.10163758226656228
0	PhyloDeep	-864.1222397391609	0.3854709875865865	-0.2614696733916162
0	real	-863.8607700657693	0.12400131419497029	0.0
1	PyBDEI	-812.9305091290859	0.0	0.6608937046202072
1	BEAST2	-812.9362029605226	0.005693831436701657	0.6551998731835056
1	PhyloDeep	-812.9784136133468	0.04790448426092553	0.6129892203592817
1	real	-813.5914028337061	0.6608937046202072	0.0
2	PyBDEI	-2955.0079719665277	0.0	1.3260215514587799
2	BEAST2	-2955.055369496972	0.04739753044441386	1.278624021014366
2	PhyloDeep	-2955.2926797425566	0.2847077760288812	1.0413137754298987
2	real	-2956.3339935179865	1.3260215514587799	0.0
4	PyBDEI	-2830.3565289889457	0.0	1.6572189667817838
4	BEAST2	-2830.3567567424025	0.0002277534567838302	1.656991213325
4	PhyloDeep	-2830.5076980806944	0.15116909174867033	1.5060498750331135
4	real	-2832.0137479557275	1.6572189667817838	0.0
5	PyBDEI	-2322.85296548635	0.0	1.4426982642057737
5	BEAST2	-2323.073875467173	0.22090998082285296	1.2217882833829208
5	PhyloDeep	-2324.2350090312075	1.3820435448574244	0.06065471934834932
5	real	-2324.295663750556	1.4426982642057737	0.0
6	PyBDEI	-1237.5868918823069	0.0	0.7652770895263075
6	BEAST2	-1238.3311349206417	0.7442430383348437	0.021034051191463732
6	PhyloDeep	-1244.8552704741037	7.268378591796818	-6.5031015022705105
6	real	-1238.3521689718332	0.7652770895263075	0.0
7	PyBDEI	-1788.2227167822164	0.0	1.034744909572055
7	BEAST2	-1788.2272041874562	0.004487405239842701	1.0302575043322122
7	PhyloDeep	-1788.7318008138657	0.5090840316493086	0.5256608779227463
7	real	-1789.2574616917884	1.034744909572055	0.0
8	PyBDEI	-2194.8327330617376	0.0	2.9362539034718793
8	BEAST2	-2194.840283628988	0.007550567250291351	2.928703336221588
8	PhyloDeep	-2195.1905347309157	0.35780166917811584	2.5784522342937635
8	real	-2197.7689869652095	2.9362539034718793	0.0
9	PyBDEI	-1886.333985867548	0.0	0.625121980534459
9	BEAST2	-1886.3352768776822	0.0012910101340821711	0.6238309704003768
9	PhyloDeep	-1887.307651466562	0.9736655990138843	-0.3485436184794253
9	real	-1886.9591078480826	0.625121980534459	0.0
10	PyBDEI	-3629.819522008593	0.0	1.1104893655542583
10	BEAST2	-3630.509285703901	0.6897636953076471	0.4207256702466111
10	PhyloDeep	-3630.4363897559724	0.6168677473792741	0.4936216181749842
10	real	-3630.9300113741474	1.1104893655542583	0.0
11	PyBDEI	-2000.7224249670417	0.0	2.587946949319303
11	BEAST2	-2000.7285809524471	0.006155985405484898	2.581790963913818
11	PhyloDeep	-2001.3099825480654	0.5875575810237024	2.0003893682956004
11	real	-2003.310371916361	2.587946949319303	0.0
12	PyBDEI	-979.5953860408212	0.0	0.529179913391431
12	BEAST2	-979.6293798063195	0.03399376549839417	0.49518614789303683
12	PhyloDeep	-979.6299760980289	0.03459005720776531	0.4945898561836657
12	real	-980.1245659542126	0.529179913391431	0.0
13	PyBDEI	-1822.8483142002992	0.0	0.4315103521362289
13	BEAST2	-1822.883283649189	0.034969448889796695	0.3965409032464322
13	PhyloDeep	-1823.099641121906	0.25132692160673287	0.18018343052949604
13	real	-1823.2798245524355	0.4315103521362289	0.0
14	PyBDEI	-1424.3191012316306	0.0	1.5744305202745181
14	BEAST2	-1424.7235685670043	0.404467335373738	1.16996318490078
14	PhyloDeep	-1434.1368261335838	9.81772490195317	-8.243294381678652
14	real	-1425.8935317519051	1.5744305202745181	0.0
15	PyBDEI	-2144.318681929603	0.0	0.462976337643795
15	BEAST2	-2144.3261198874375	0.007437957834554254	0.4555383798092407
15	PhyloDeep	-2147.014012293345	2.6953303637419594	-2.2323540260981645
15	real	-2144.7816582672467	0.462976337643795	0.0
16	PyBDEI	-902.9947344722827	0.0	2.9810755327566767
16	BEAST2	-903.0076653785901	0.012930906307360601	2.968144626449316
16	PhyloDeep	-904.084329814912	1.089595342629309	1.8914801901273677
16	real	-905.9758100050394	2.9810755327566767	0.0
17	PyBDEI	-2877.332639688801	0.0	1.2145614983060113
17	BEAST2	-2877.3652866493667	0.03264696056567118	1.1819145377403402
17	PhyloDeep	-2877.3726033473085	0.03996365850753136	1.17459783979848
17	real	-2878.547201187107	1.2145614983060113	0.0
18	PyBDEI	-1800.7566182099756	0.0	1.2447916529074519
18	BEAST2	-1929.474032869532	128.71741465955643	-127.47262300664897
18	PhyloDeep	-1800.7708499838052	0.014231773829578742	1.2305598790778731
18	real	-1802.001409862883	1.2447916529074519	0.0
19	PyBDEI	-1126.1475098188748	0.0	0.5073987429266253
19	BEAST2	-1126.1582683995268	0.010758580652009186	0.49664016227461616
19	PhyloDeep	-1127.2324950910822	1.0849852722074047	-0.5775865292807794
19	real	-1126.6549085618014	0.5073987429266253	0.0
20	PyBDEI	-1669.1562234533178	0.0	0.6866579170002751
20	BEAST2	-1669.161332452494	0.0051089991761728015	0.6815489178241023
20	PhyloDeep	-1669.6501082068544	0.4938847535365767	0.19277316346369844
20	real	-1669.842881370318	0.6866579170002751	0.0
21	PyBDEI	-1686.572954190106	0.0	1.4531058354264133
21	BEAST2	-1686.681811341093	0.10885715098697801	1.3442486844394352
21	PhyloDeep	-1686.999560027417	0.4266058373109445	1.0264999981154688
21	real	-1688.0260600255324	1.4531058354264133	0.0
22	PyBDEI	-1457.6491775855845	0.0	2.6563072575008846
22	BEAST2	-1459.2507097071264	1.6015321215418226	1.054775135959062
22	PhyloDeep	-1457.8439926875562	0.19481510197169882	2.4614921555291858
22	real	-1460.3054848430854	2.6563072575008846	0.0
23	PyBDEI	-2418.568094844434	0.0	1.5451092192261058
23	BEAST2	-2418.5703740887293	0.0022792442950958502	1.54282997493101
23	PhyloDeep	-2418.635331909058	0.067237064623896	1.4778721546022098
23	real	-2420.1132040636603	1.5451092192261058	0.0
24	PyBDEI	-1965.507352488178	0.0	2.1901253026251197
24	BEAST2	-1965.5549095067358	0.04755701855788175	2.142568284067238
24	PhyloDeep	-1966.08764091004	0.5802884218619511	1.6098368807631687
24	real	-1967.697477790803	2.1901253026251197	0.0
25	PyBDEI	-3115.9966533375828	0.0	2.6524324391816663
25	BEAST2	-3115.997600960808	0.0009476232253291528	2.651484815956337
25	PhyloDeep	-3117.139907999797	1.1432546622140762	1.50917777696759
25	real	-3118.6490857767644	2.6524324391816663	0.0
26	PyBDEI	-3148.439446448969	0.0	0.20970519695129042
26	BEAST2	-3148.46919984293	0.02975339396061827	0.17995180299067215
26	PhyloDeep	-3148.503047606244	0.06360115727466109	0.14610403967662933
26	real	-3148.6491516459205	0.20970519695129042	0.0
27	PyBDEI	-2339.425683753591	0.07847533833910347	0.6732796323285584
27	BEAST2	-2339.3472084152518	0.0	0.7517549706676618
27	PhyloDeep	-2340.0909532769538	0.7437448617019982	0.008010108965663676
27	real	-2340.0989633859194	0.7517549706676618	0.0
28	PyBDEI	-1321.4632803067145	0.0	3.834917606345698
28	BEAST2	-1321.4782632188412	0.014982912126697556	3.8199346942190004
28	PhyloDeep	-1321.7311357056192	0.2678553989046577	3.5670622074410403
28	real	-1325.2981979130602	3.834917606345698	0.0
29	PyBDEI	-3005.512581782219	0.0	2.055757588870165
29	BEAST2	-3005.515211460851	0.002629678631819843	2.053127910238345
29	PhyloDeep	-3005.640152105332	0.12757032311310468	1.9281872657570602
29	real	-3007.568339371089	2.055757588870165	0.0
30	PyBDEI	-1085.7806699357718	0.0	1.2532529902346141
30	BEAST2	-1178.8575069738379	93.07683703806606	-91.82358404783145
30	PhyloDeep	-1085.7940588215665	0.013388885794711314	1.2398641044399028
30	real	-1087.0339229260064	1.2532529902346141	0.0
31	PyBDEI	-1604.7379918562551	0.0	1.935330548688853
31	BEAST2	-1711.023814170688	106.28582231443283	-104.35049176574398
31	PhyloDeep	-1604.8749641648026	0.13697230854745612	1.798358240141397
31	real	-1606.673322404944	1.935330548688853	0.0
32	PyBDEI	-1880.2134090614752	0.0	1.302352807401121
32	BEAST2	-1880.2149788154975	0.0015697540222845419	1.3007830533788365
32	PhyloDeep	-1880.5446618974263	0.3312528359510907	0.9710999714500304
32	real	-1881.5157618688763	1.302352807401121	0.0
33	PyBDEI	-1219.854061700243	0.0	1.0302262411671563
33	BEAST2	-1219.8704441416767	0.01638244143373413	1.0138437997334222
33	PhyloDeep	-1220.4978916738091	0.6438299735661985	0.3863962676009578
33	real	-1220.88428794141	1.0302262411671563	0.0
34	PyBDEI	-1384.5151126570456	0.0	2.7678813417571746
34	BEAST2	-1384.52778169883	0.012669041784420187	2.7552122999727544
34	PhyloDeep	-1385.8543553384354	1.3392426813898055	1.428638660367369
34	real	-1387.2829939988028	2.7678813417571746	0.0
35	PyBDEI	-3197.119228275609	0.0	2.0896296023702234
35	BEAST2	-3197.1211462145548	0.0019179389455530327	2.0877116634246704
35	PhyloDeep	-3197.713494704369	0.5942664287599655	1.495363173610258
35	real	-3199.2088578779794	2.0896296023702234	0.0
36	PyBDEI	-1898.1204153945826	0.0	1.3361767864817011
36	BEAST2	-1898.1235240392161	0.003108644633584845	1.3330681418481163
36	PhyloDeep	-1898.6710317259397	0.5506163313571051	0.785560455124596
36	real	-1899.4565921810643	1.3361767864817011	0.0
37	PyBDEI	-2278.033096920314	0.0	0.2603410062738476
